protocol,representation,repeat,fold,test_rows,mae,r2,spearman
dummy_control,Morgan,5,1,81,0.9373895871693464,-0.035713934135763736,0.14282658210276813
dummy_control,Morgan+Physical,5,1,81,0.9443290190787916,-0.044558245398057306,0.12173414764179397
dummy_control,Physical,5,1,81,0.9645863321697753,-0.10241084744118956,0.09305622860606806
dummy_control,Morgan,5,2,111,1.0047836814992284,-0.18854714773149617,-0.2160046326131519
dummy_control,Morgan+Physical,5,2,111,0.93616691156783,-0.07467736048127804,0.12467632477901623
dummy_control,Physical,5,2,111,0.9302279872347783,-0.05187926929651465,0.18895592807908113
dummy_control,Morgan,5,3,128,1.0926218104648018,0.00755579098859549,0.12857411275118574
dummy_control,Morgan+Physical,5,3,128,1.0778506010416935,0.013086316626040428,0.15773869644848337
dummy_control,Physical,5,3,128,1.0871135903324818,-0.01989233401792112,0.1299679608801514
dummy_control,Morgan,5,4,74,1.1160306071743384,-0.22001667605329267,-0.1788326711507375
dummy_control,Morgan+Physical,5,4,74,1.051116736349594,-0.0815444277757893,-0.0386782317617805
dummy_control,Physical,5,4,74,1.0072982116015528,-0.007296547068472936,0.14123706937312486
dummy_control,Morgan,6,0,43,1.1219461505377695,-0.1888014560164244,-0.0891207072874616
dummy_control,Morgan+Physical,6,0,43,1.1053252692860718,-0.14856897256035673,-0.04445961024264015
dummy_control,Physical,6,0,43,1.1109815744655684,-0.23437425674035595,-0.01769311019860169
dummy_control,Morgan,6,1,60,1.1176963000165605,-0.10465571407428054,0.060130311144162875
dummy_control,Morgan+Physical,6,1,60,1.0524969490472016,-0.0009906718798387004,0.12975460781916753
dummy_control,Physical,6,1,60,1.0096913887978831,0.010563400211410334,0.18410412629261946
dummy_control,Morgan,6,2,126,0.8916431489358154,-0.02645506959371957,0.02810019641930766
dummy_control,Morgan+Physical,6,2,126,0.8930167880378906,-0.06291356557481409,0.049370786911747185
dummy_control,Physical,6,2,126,0.9474180997152978,-0.1619750239130966,0.0494068986661627
dummy_control,Morgan,6,3,124,1.0968128972164435,-0.07627081458926988,0.03752300523530655
dummy_control,Morgan+Physical,6,3,124,1.077985414358618,-0.06748155471861161,0.09572489951123012
dummy_control,Physical,6,3,124,1.0849007101969967,-0.1065737758620886,0.12827373379617027
dummy_control,Morgan,6,4,104,1.0279760590277196,-0.060184904276315176,-0.0347497937877823
dummy_control,Morgan+Physical,6,4,104,1.0032457716939147,-0.004997581925469952,0.06632731268916388
dummy_control,Physical,6,4,104,1.0311610565159046,-0.08133706350786207,0.07413933283015049
dummy_control,Morgan,7,0,114,0.9735511488160199,-0.0872863203621641,0.02682218618087021
dummy_control,Morgan+Physical,7,0,114,0.9599665610664475,-0.07340231956194443,0.014261080749964227
dummy_control,Physical,7,0,114,0.9875060345073587,-0.10637303354347605,0.006256068818408352
dummy_control,Morgan,7,1,77,1.0561847270781173,-0.07819416738691332,0.17246523528920008
dummy_control,Morgan+Physical,7,1,77,1.001234004718624,0.01564281348092811,0.31126950144056487
dummy_control,Physical,7,1,77,1.0115922083550344,-0.047247279065446124,0.37395846710553254
dummy_control,Morgan,7,2,80,0.9575794707239467,-0.10060051362189948,-0.025799737567824617
dummy_control,Morgan+Physical,7,2,80,0.9556402065602896,-0.06371756499880643,-0.05021113136350182
dummy_control,Physical,7,2,80,0.965060408982264,-0.05046287702472174,-0.04852217950264122
dummy_control,Morgan,7,3,78,1.065064802381965,-0.08822129454416539,0.017058827586005007
dummy_control,Morgan+Physical,7,3,78,1.0511942290932537,-0.07241237325695216,0.15496914579795928
