protocol,representation,repeat,r2,mae,rmse,spearman,mae_lt20,mae_20_60,mae_gt60
band_all,Physical,8,-0.2152516019580626,11.79070480797898,20.426879960180305,0.4431022097059485,11.281722641449443,8.661959678665601,55.63326250019481
band_all,Morgan+Physical,8,0.10791172566665896,10.580067799697167,17.501402429133424,0.31291345051357844,8.92451398540069,8.921138104191533,65.10735352276743
band_all,Morgan,9,-0.05387926915583341,11.321747592877205,19.022358683533522,0.5821209791829783,7.097305548419287,14.913061760749347,69.55056298828126
band_all,Physical,9,0.36809626270692275,8.552630309743057,14.72971682067195,0.7087365184001019,6.6097836809370465,8.486033690935297,53.099996903439795
band_all,Morgan+Physical,9,0.3172578688128289,8.461592260623487,15.310778984084909,0.6237952193165295,6.585580866335656,7.466690252170641,61.099261738229316
single_row_298,Morgan,0,0.08299400365552945,11.91944580160647,23.06819006994436,0.5386609030647067,7.016987226867676,11.388794419811617,75.9999706954956
single_row_298,Physical,0,0.1098133775989597,11.3820710312746,22.728352956613595,0.6495672548208782,8.109400415814306,10.104138732910155,59.8863669128418
single_row_298,Morgan+Physical,0,0.20125709971094385,10.557253024722119,21.52935102655204,0.6693677955863881,7.218455201761184,7.979055910664219,67.94316813659668
single_row_298,Morgan,1,0.1176506900090839,11.02003430242733,22.62808015903049,0.5812088966796549,6.621375721420781,9.281077387655936,76.34493357849121
single_row_298,Physical,1,0.2095399856422051,10.24418592399675,21.417431487137783,0.658809803134883,7.610228023055293,8.360821813029629,54.582121383666994
single_row_298,Morgan+Physical,1,0.2436910252410679,10.058534300426562,20.949663922119843,0.6946151688399872,6.767369392874934,8.036128339705929,63.40789611053467
single_row_298,Morgan,2,0.07745294558917803,11.7766749997898,23.13778049207079,0.5030746817958335,7.79765524994635,9.328333306589435,76.29623839569092
single_row_298,Physical,2,0.17931463944007553,10.67231263423063,21.823066526965142,0.6861611241596154,7.679829433096609,9.407823433906799,55.618937370300294
single_row_298,Morgan+Physical,2,0.21708865651846676,10.538074178625612,21.31492093902796,0.6602698153760634,7.306986184963103,8.061619015601375,65.95758731079101
single_row_298,Morgan,3,-0.01710014033407181,12.468441733776794,24.294574125811202,0.49171799090552215,8.056767126526372,10.652486985237367,78.43212630462646
single_row_298,Physical,3,0.18393225287007942,10.667716408696467,21.76158581996784,0.6511101547714749,7.846350480950265,9.440890251159669,53.25897608947754
single_row_298,Morgan+Physical,3,0.18719542817241364,10.699716819366143,21.718033676193645,0.63726665307834,7.417717703160933,8.616035875381963,64.31532771301269
single_row_298,Morgan,4,0.13451046515597964,11.91458913243352,22.410850774547946,0.48733626405281316,7.079722595842424,11.438029787125126,74.82160212707518
single_row_298,Physical,4,0.05343236782232408,11.438818752374454,23.437066818904597,0.6358193920357726,7.3358008601404014,10.50371672156549,68.11387320709228
single_row_298,Morgan+Physical,4,0.15531985718940877,10.800825408051939,22.13979400079658,0.6210152504461622,6.6377872220500835,9.487859391981555,70.56288821411133
single_row_298,Morgan,5,0.03192587064321506,11.693427019594152,23.7018224482832,0.5121903013250755,6.96081330792827,10.52253033324211,77.63739649963378
single_row_298,Physical,5,0.15603064882116136,10.857623910711249,22.13047680988945,0.6753353565372388,7.517431715445364,9.910033018542872,58.15107066345214
single_row_298,Morgan+Physical,5,0.1847047831604388,10.561301360449496,21.75128308174405,0.6444009487022736,6.853979737294104,8.728697474325859,67.89423358154296
single_row_298,Morgan,6,0.07497750552329818,11.887906699402478,23.168802117594833,0.47145944774206716,7.14376692687004,10.895151932254915,76.87031943511963
single_row_298,Physical,6,-0.021060528750882268,11.806894809370625,24.341827324658635,0.586040580821926,8.840268257937893,9.210108134115895,64.69314143371582
single_row_298,Morgan+Physical,6,0.1005053740544577,11.200689663392671,22.846870488860013,0.5808872284112756,7.483025595868019,9.026172435883552,70.78173091125488
single_row_298,Morgan,7,0.1361387517988062,11.547537407474126,22.389759549949435,0.5210938047906559,6.952137271524244,10.377154745532623,75.78687159729004
single_row_298,Physical,7,0.19746874316069662,10.66646714012185,21.5803463955862,0.7048438770178787,7.705365329007178,9.733389753280148,53.169209396362305
single_row_298,Morgan+Physical,7,0.2779334467805922,10.024434952724222,20.469915392418407,0.7120843109396995,6.709386516460294,8.017846120526713,63.571886322021484
single_row_298,Morgan,8,0.010820989779837142,12.214300314930506,23.958789921151787,0.48851102356169296,7.780130785431399,10.060592745627126,80.55098941040039
single_row_298,Physical,8,0.13639417443403834,10.969319965393689,22.386449253190555,0.6855363154275819,6.569690807514807,11.464728750167355,62.45318705749512
single_row_298,Morgan+Physical,8,0.14484149975043747,10.926862200803171,22.276694130137777,0.6802381924039099,6.671018145235123,9.668352564657887,71.50208823394776
single_row_298,Morgan,9,0.10576988784254282,11.384532091849188,22.779913907469044,0.5699120799250226,6.931449794227847,9.779036580485682,76.55682475280761
single_row_298,Physical,9,0.11205263405789712,10.794968765951662,22.699748472772196,0.6707683283709603,7.155918942100771,8.51459413393082,70.05750930023193
single_row_298,Morgan+Physical,9,0.14823278015070696,10.521779269323543,22.23247919029287,0.7068180659125599,6.493515018106277,8.451632403958229,73.3071665496826
train_all_test_core,Morgan,0,-0.11186003228919028,12.748390174963697,20.439627605613005,0.09791725135363602,7.434493745467939,15.694236845479582,74.8169569498698
train_all_test_core,Physical,0,-0.06578044317950638,10.956152221737382,20.011599052607497,0.6192376472329205,9.869774614050414,8.655832746592077,57.23239619227818
train_all_test_core,Morgan+Physical,0,0.1469111844750286,10.495724974160106,17.903792817771162,0.5575396629390773,8.094114454904759,9.4525315720672,66.02467707061768
train_all_test_core,Morgan,1,-0.03086618780270345,11.644957822250225,19.681086360932767,0.4279921686402008,5.506409386235689,15.77417145105056,74.94255276925225
train_all_test_core,Physical,1,0.035312109882795206,10.948473006766717,19.038877208653602,0.6114517835485209,10.443734766252318,8.639161650229873,46.80386305600121
train_all_test_core,Morgan+Physical,1,0.22461382938018704,9.749878355862872,17.06895545205531,0.6013484247785896,7.571860697608145,8.762024472240558,60.59250711095902
train_all_test_core,Morgan,2,-0.1704537004574278,13.69596165828551,20.97128483827193,0.09958443631626561,10.056394567023228,14.272366441483362,72.88496796126594
train_all_test_core,Physical,2,-0.021606515802706783,11.360906905661695,19.592495089461693,0.5268722754326132,12.319712850764324,6.747979218533991,47.389248278663274
train_all_test_core,Morgan+Physical,2,0.10253053843386062,10.792316813970292,18.363597252393678,0.5406710449318743,9.468484245417143,8.598143018432115,60.1371076885405
train_all_test_core,Morgan,3,-0.19562161750528761,12.615246421406965,21.195555288814692,0.43713688180391563,7.3377127635081445,15.586771446039648,73.72868494596936
train_all_test_core,Physical,3,0.3722648796128901,8.708420032280513,15.358051977246141,0.7438210148934317,7.451194047694357,7.303557919537579,47.71448515319825
train_all_test_core,Morgan+Physical,3,0.2360237647886413,9.312212142060202,16.94290376804837,0.6556556247044936,7.0175238851721895,8.515041415367596,60.05954662795295
train_all_test_core,Morgan,4,-0.08525005325415114,11.8280255834878,20.193557129977382,0.3847630040908323,5.845319915924475,15.786667342323335,74.27936873953684
train_all_test_core,Physical,4,0.24163620460453505,9.821549784021734,16.880554763684316,0.644060767336625,8.245318067863765,8.677404111571763,51.58323790522984
train_all_test_core,Morgan+Physical,4,0.21917404764398773,9.485137152451106,17.128725095143576,0.6280025116589666,6.54303375703651,9.467828253977585,62.92348727562314
train_all_test_core,Morgan,5,-0.07717903132321147,11.72597823417551,20.11832709420494,0.2623283289646329,6.0623757947368615,15.078008822374382,75.42243033200221
train_all_test_core,Physical,5,-0.3460168659804692,13.539725752169982,22.48915669160812,0.5634814439094702,11.889785099144884,13.398452045173803,45.030533321198966
train_all_test_core,Morgan+Physical,5,0.1605112044404141,10.38704851066542,17.76050750479228,0.5397646554597193,8.735031602560747,8.675116359129856,60.09018841080441
train_all_test_core,Morgan,6,-0.08958153258752355,11.814516725193284,20.233815535269933,0.41942497268865164,5.664444467057078,15.900524023613324,75.82059694308327
train_all_test_core,Physical,6,0.022131123935132502,9.893127759160699,19.168504503743563,0.5842385364829026,9.938610077702775,6.0719632662549445,53.286446365356454
train_all_test_core,Morgan+Physical,6,0.14699913582957025,10.067599200312335,17.902869875523443,0.5068831754537292,7.567408935082487,9.268701819274652,64.5535213136219
train_all_test_core,Morgan,7,-0.02747892187681722,11.760546046008471,19.648725261633288,0.4100021768174722,5.302069566596583,16.388223755385162,75.07937360781716
train_all_test_core,Physical,7,0.333914401322163,8.62827683210752,15.820235403614822,0.7573377683000818,6.965711572186722,7.582587503943423,50.81291042800177
train_all_test_core,Morgan+Physical,7,0.2992632874494251,9.132463601783137,16.22651872148426,0.7679933482628889,5.5559493702762,10.158461516203705,61.97807859075638
train_all_test_core,Morgan,8,-0.15730120592592733,12.489914761722398,20.853123837834307,0.368857371752429,7.158330593161733,15.268062722319929,76.81905902971542
train_all_test_core,Physical,8,0.06469495917169321,10.528619905108634,18.746688236366914,0.6404440074422839,9.242805788288017,8.726744619832608,54.64600365339007
train_all_test_core,Morgan+Physical,8,0.15491596962651277,10.217009517167607,17.81959654590363,0.4886966203500875,7.672509638889113,9.398425120538155,65.732531523205
train_all_test_core,Morgan,9,-0.08098035559803973,11.766674109157066,20.153794240907324,0.5747491372265104,6.328961528256466,15.07902853751477,71.83470528302875
train_all_test_core,Physical,9,0.3579576565816044,8.622525492570356,15.532084875964035,0.8042851360862167,6.426191954065524,8.088302914466388,54.54742221214659
train_all_test_core,Morgan+Physical,9,0.2884590387506849,8.45169762769095,16.3511338083712,0.7043318492767219,5.994588876224718,7.607242865542816,62.68521347336543
