protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_baseline,Morgan+Physical,3,4,402,55,78,19,0,6.152776605232932,9.560961384937615,0.3009634386546969,0.6609907677791698
room_baseline,Morgan,4,0,398,59,77,20,0,10.275598775443386,21.91928107986351,0.055691551084629975,0.24109108692760567
room_baseline,Physical,4,0,398,59,77,20,0,9.6338510679148,21.66995500197766,0.07705189431622717,0.7635762893376479
room_baseline,Morgan+Physical,4,0,398,59,77,20,0,7.367958848791607,20.76110020778039,0.15284672698561508,0.7777122280480024
room_baseline,Morgan,4,1,340,117,77,20,0,7.534073092740051,11.860218700221338,-0.4724501317174197,0.4417181414495794
room_baseline,Physical,4,1,340,117,77,20,0,4.368143005120693,6.028716956868658,0.6195435164154892,0.6524600224875374
room_baseline,Morgan+Physical,4,1,340,117,77,20,0,5.248253312015371,8.327235673182049,0.27413323425208047,0.5329591929565134
room_baseline,Morgan,4,2,346,111,78,19,0,13.628407963259583,20.004464658648356,0.008600713012182903,0.5976345029663745
room_baseline,Physical,4,2,346,111,78,19,0,22.290187128757786,30.89386425046601,-1.3644993701883092,0.7212588631456919
room_baseline,Morgan+Physical,4,2,346,111,78,19,0,13.483369948117367,19.685150000519208,0.03999788070518251,0.7168053829421622
room_baseline,Morgan,4,3,384,73,78,19,0,6.7408485747245885,15.66387906156617,0.30634862332241797,0.6533266904597351
room_baseline,Physical,4,3,384,73,78,19,0,6.020985156208195,8.533581397247502,0.7941242091207202,0.8329416320338915
room_baseline,Morgan+Physical,4,3,384,73,78,19,0,5.583846388704482,11.023311985278,0.6564683082558735,0.9092831780346011
room_baseline,Morgan,4,4,360,97,78,19,0,13.21303199697278,17.750742231435936,-0.22986644536605394,0.6568263533135187
room_baseline,Physical,4,4,360,97,78,19,0,8.923509608868471,9.764522731354534,0.6278423424696626,0.82975004653168
room_baseline,Morgan+Physical,4,4,360,97,78,19,0,6.88338522889442,7.7816083439547405,0.7636456198969277,0.9064151711915784
room_baseline,Morgan,5,0,394,63,77,20,0,7.254420235648988,16.439888323483142,0.08118742397029144,0.7334547289529771
room_baseline,Physical,5,0,394,63,77,20,0,6.15921705636524,9.493350578018632,0.69361447527967,0.5938887027167242
room_baseline,Morgan+Physical,5,0,394,63,77,20,0,6.175525371430413,12.4927186909845,0.4694294671458614,0.6895904282952904
room_baseline,Morgan,5,1,376,81,77,20,0,9.172393744631167,11.83284381052476,0.4934684910716626,0.8023833752067941
room_baseline,Physical,5,1,376,81,77,20,0,9.665134623690005,15.312702334051366,0.15173434684256193,0.8063537571851271
room_baseline,Morgan+Physical,5,1,376,81,77,20,0,7.098237754878291,10.968299715807344,0.5647820283798219,0.8145519798435091
room_baseline,Morgan,5,2,346,111,78,19,0,15.031620462487023,22.43039536883135,0.09189270466542254,0.47149653428813326
room_baseline,Physical,5,2,346,111,78,19,0,7.9320690605754685,16.499691344581393,0.5086228610872109,0.8993854236832184
room_baseline,Morgan+Physical,5,2,346,111,78,19,0,11.16449009153074,18.970940414208428,0.3504074625179693,0.8163152297440893
room_baseline,Morgan,5,3,329,128,78,19,0,6.0287598174572,8.74038531179953,0.3287868187874422,0.8442322922595502
