model,target,train_size,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
linear_scalar,oxidation_free_energy,200,1,4,160,40,8ae302e3bc0b55f5313fd57b27c8b2febc9a318f4b8f475633bcb54b9d733da7,b103b0a4783c570377d68c66840152617c46030d4706407666d7ed458bf9ee98,0.33440286192486823,0.4606792295796532,0.8764026406557047
linear_scalar,oxidation_free_energy,200,2,0,160,40,a1849798b119751689f2ce877c127358ca3c998d5c15a1944025519449ada7b3,f84bb24809c605b2a58bf3cb63880875da656b35280037f26d267b6a66e7b225,0.2878366446871673,0.365496010343837,0.9237932382390053
linear_scalar,oxidation_free_energy,200,2,1,160,40,f2efd4e9cec5ba80ebb9b4f38fe609520d655d280df3ef55c5207cf83a2389e4,3b71ea6899b2bf108d12b7a0a94422b34a5ea942793072ea133817d02c29e046,0.2626765243729372,0.29966730650413304,0.9358583602257052
linear_scalar,oxidation_free_energy,200,2,2,160,40,2667020387c93e7ce31cc01ccb9d015515765519c6f8998979728d59f73a8de0,e5200dd67f05748b65d25915b392207b880341026b32929f15a3b03d9e0d50ca,0.30126303743876093,0.42602782711120707,0.93839662163322
linear_scalar,oxidation_free_energy,200,2,3,160,40,f08d01e7adff5d07994144bda6e31694e47af38522012743674f3c421f62ed21,674bd08ebbfe490a3f33e715729b4bc5d7151deb9202050899f02f0c01da775c,0.22856909885071816,0.351102984133547,0.9024819551579385
linear_scalar,oxidation_free_energy,200,2,4,160,40,4d1f47fbf7ad9315093ed5b4f0dac5b47eae9156d0fa6174c1f73fc7ee9f06d2,f9370c68862b7f7688aff49e93a5864c420d66eee632afd21bfe5785151cfc7e,0.32866405340518734,0.4931941675508258,0.8745992693044109
xgb_enriched,oxidation_free_energy,200,0,0,160,40,41b7c098901e1ead4aa50fd16b011f28580e8aad1d67db2581465722042d87cc,c963841b17cfbda91e9e95b1b895f9936e95aef70533aae9ce28e246fd09e1f8,0.22308408315964243,0.35434612400117566,0.9011599671923924
xgb_enriched,oxidation_free_energy,200,0,1,160,40,8d64108843e5b858cbccccadcbda89a380f78167eca1574675b1a7589394c5ff,3fd74f611ec42b9083ea0fb2707482ee7978dd73182895ac8454149154e215bd,0.2157259379243442,0.3054432645732738,0.9386792867922104
xgb_enriched,oxidation_free_energy,200,0,2,160,40,68ae279e5ffb3e99a7c4442ad70715e9846383bc10438e49310d7f1bac7670aa,1de1b8c46c21a2c885c8c0a7a600eca93599d85dddc169e590660a2322b8c52c,0.29348110120098453,0.46099208774458245,0.9132892024737924
xgb_enriched,oxidation_free_energy,200,0,3,160,40,e5597e06b0eedbbc162ff3221460da077780e6ad5c723bf6e9f18979d2567581,e9a69e85bf8dce081eda537f35a99e52b2212136f96a3a05442f9af394de49a3,0.22564352500501172,0.3693310823423624,0.9216908069200662
xgb_enriched,oxidation_free_energy,200,0,4,160,40,1023beba18f06781d5a97110751ef4704f3f63f27c70fab8659f50dcc08f669f,74ad7bfee38378a71440ef1f657a2c4549a7382a2137103428daec0983e84c4c,0.2279826183423211,0.34389187593059595,0.9476033302048494
xgb_enriched,oxidation_free_energy,200,1,0,160,40,36d7b9e311744dc9e1bec83077793310ca1a68ba81bb5a511e34a25ae824e362,7db44434865ac14061de6edf33f7b22081ff646180d7a17d9f46eb58d997147d,0.24441977094707,0.39520532614558307,0.9237178373919017
xgb_enriched,oxidation_free_energy,200,1,1,160,40,4004537b0c24950267680b5f385950f51c53fdff37e334541eb44203370a72e9,b5fd4ddb1e545edd08795e1546a28304ea4396013c165e450a6735cdda1c5ffa,0.2374420473189275,0.3478950592619336,0.9393857315795746
xgb_enriched,oxidation_free_energy,200,1,2,160,40,910cfb146afafe9ea9671af2e7dc049e814349bf5961362f4d4c48f872ec3f20,0570f69401d18a49705879462ff788c9653e403e22bef56eb920f73ce1f4e31d,0.19274377425094827,0.25735829403658045,0.9427448121788452
xgb_enriched,oxidation_free_energy,200,1,3,160,40,f1bbb685e93096ff9345046814c7d20fc64fb61e28984fec925d2666bcceab45,24e5438c35a4849a500dd935ad211087fe099ca445be7332b0a95f6fd16dac68,0.3305131764065095,0.5661686708518928,0.8459389493191923
xgb_enriched,oxidation_free_energy,200,1,4,160,40,8ae302e3bc0b55f5313fd57b27c8b2febc9a318f4b8f475633bcb54b9d733da7,b103b0a4783c570377d68c66840152617c46030d4706407666d7ed458bf9ee98,0.3005343875287963,0.4560632706958156,0.8788670975475661
xgb_enriched,oxidation_free_energy,200,2,0,160,40,a1849798b119751689f2ce877c127358ca3c998d5c15a1944025519449ada7b3,f84bb24809c605b2a58bf3cb63880875da656b35280037f26d267b6a66e7b225,0.19665511524606244,0.28499632866304797,0.9536652571444224
xgb_enriched,oxidation_free_energy,200,2,1,160,40,f2efd4e9cec5ba80ebb9b4f38fe609520d655d280df3ef55c5207cf83a2389e4,3b71ea6899b2bf108d12b7a0a94422b34a5ea942793072ea133817d02c29e046,0.1878283140534222,0.2296834336065342,0.9623191515010037
xgb_enriched,oxidation_free_energy,200,2,2,160,40,2667020387c93e7ce31cc01ccb9d015515765519c6f8998979728d59f73a8de0,e5200dd67f05748b65d25915b392207b880341026b32929f15a3b03d9e0d50ca,0.34871682527249276,0.6046952524846724,0.8758914466215533
xgb_enriched,oxidation_free_energy,200,2,3,160,40,f08d01e7adff5d07994144bda6e31694e47af38522012743674f3c421f62ed21,674bd08ebbfe490a3f33e715729b4bc5d7151deb9202050899f02f0c01da775c,0.2312811244012664,0.37471613479697385,0.8889238722265032
xgb_enriched,oxidation_free_energy,200,2,4,160,40,4d1f47fbf7ad9315093ed5b4f0dac5b47eae9156d0fa6174c1f73fc7ee9f06d2,f9370c68862b7f7688aff49e93a5864c420d66eee632afd21bfe5785151cfc7e,0.27699585544016825,0.46814895940152784,0.8870119983140975
linear_scalar,reduction_free_energy,200,0,0,160,40,41b7c098901e1ead4aa50fd16b011f28580e8aad1d67db2581465722042d87cc,c963841b17cfbda91e9e95b1b895f9936e95aef70533aae9ce28e246fd09e1f8,0.46041273109895897,0.7174065436532314,0.7343921593920584
linear_scalar,reduction_free_energy,200,0,1,160,40,8d64108843e5b858cbccccadcbda89a380f78167eca1574675b1a7589394c5ff,3fd74f611ec42b9083ea0fb2707482ee7978dd73182895ac8454149154e215bd,0.460617138631631,0.6629919761350455,0.6380911453355096
linear_scalar,reduction_free_energy,200,0,2,160,40,68ae279e5ffb3e99a7c4442ad70715e9846383bc10438e49310d7f1bac7670aa,1de1b8c46c21a2c885c8c0a7a600eca93599d85dddc169e590660a2322b8c52c,0.3547395592318685,0.48099552177161425,0.8429226603049835
linear_scalar,reduction_free_energy,200,0,3,160,40,e5597e06b0eedbbc162ff3221460da077780e6ad5c723bf6e9f18979d2567581,e9a69e85bf8dce081eda537f35a99e52b2212136f96a3a05442f9af394de49a3,0.4937264134987842,0.7851804135645798,0.7458881226745221
linear_scalar,reduction_free_energy,200,0,4,160,40,1023beba18f06781d5a97110751ef4704f3f63f27c70fab8659f50dcc08f669f,74ad7bfee38378a71440ef1f657a2c4549a7382a2137103428daec0983e84c4c,0.518680537054649,0.8564212282376968,0.6028795250103274
linear_scalar,reduction_free_energy,200,1,0,160,40,36d7b9e311744dc9e1bec83077793310ca1a68ba81bb5a511e34a25ae824e362,7db44434865ac14061de6edf33f7b22081ff646180d7a17d9f46eb58d997147d,0.3832370787879231,0.5844987855740995,0.7835559809867085
linear_scalar,reduction_free_energy,200,1,1,160,40,4004537b0c24950267680b5f385950f51c53fdff37e334541eb44203370a72e9,b5fd4ddb1e545edd08795e1546a28304ea4396013c165e450a6735cdda1c5ffa,0.37205143966274784,0.519357070580883,0.8361119502927399
linear_scalar,reduction_free_energy,200,1,2,160,40,910cfb146afafe9ea9671af2e7dc049e814349bf5961362f4d4c48f872ec3f20,0570f69401d18a49705879462ff788c9653e403e22bef56eb920f73ce1f4e31d,0.5256997451304605,0.8150698826452908,0.6356723370037367
linear_scalar,reduction_free_energy,200,1,3,160,40,f1bbb685e93096ff9345046814c7d20fc64fb61e28984fec925d2666bcceab45,24e5438c35a4849a500dd935ad211087fe099ca445be7332b0a95f6fd16dac68,0.49304787673087863,0.7199993795426938,0.7717846793931443
linear_scalar,reduction_free_energy,200,1,4,160,40,8ae302e3bc0b55f5313fd57b27c8b2febc9a318f4b8f475633bcb54b9d733da7,b103b0a4783c570377d68c66840152617c46030d4706407666d7ed458bf9ee98,0.5032748236578308,0.8481836802846655,0.5565138819685951
