queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
49,YPFDHNVEDLHUCE-UHFFFAOYSA-N,"1,3-Propanediol",OCCCO,35.0,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
50,ZMANZCXQSJIPKH-UHFFFAOYSA-N,Triethylamine,CCN(CC)CC,2.42,298.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
51,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,hexan-1-ol,CCCCCCO,14.26,298.15,8,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
52,ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12.5,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
53,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,12.9,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
54,GRYUVYIMDGRRLN-UHFFFAOYSA-N,"1-butyl-2,3,4,5-tetramethylimidazolium bis(trifluoromethylsulfonyl)imide",CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
55,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,16.9,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
56,HZKDSQCZNUUQIF-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium hydrogen sulfate,CCn1cc[n+](C)c1.O=S(=O)([O-])O,18.4,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
57,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,CCCCS(=O)(=O)[O-].CCn1cc[n+](C)c1,30,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
58,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,23.3,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
59,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,18,298.15,1,1,ionic_liquid,false,,true,no,P3,public_local_metadata_only_not_yet_probed
