representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,DKPFZGUDAPQIHT-UHFFFAOYSA-N,Butyl acetate,5.01,10.717253685
Morgan,baseline_v0.3,0,GJRQTCIYDGXPES-UHFFFAOYSA-N,Isobutyl acetate,5.29,10.2923049927
Morgan,baseline_v0.3,0,XNWFRZJHXBZDAG-UHFFFAOYSA-N,2-Methoxyethanol,16,18.8024196625
Morgan,baseline_v0.3,0,SWXVUIWOUIDPGS-UHFFFAOYSA-N,4-Hydroxy-4-methyl-2-pentanone (Diacetone alcohol),18.2,18.218711853
Morgan,baseline_v0.3,0,CSCPPACGZOOCGX-UHFFFAOYSA-N,Acetone,20.7,15.1541013718
Morgan,baseline_v0.3,0,RTZKZFJDLAIYFH-UHFFFAOYSA-N,Ethyl ether,4.335,5.24681568146
Morgan,baseline_v0.3,0,XNLICIUVMPYHGG-UHFFFAOYSA-N,2-Pentanone,15.45,10.9602937698
Morgan,baseline_v0.3,0,FDPIMTJIUBPUKL-UHFFFAOYSA-N,3-Pentanone,17,12.0793943405
Morgan,baseline_v0.3,0,NTIZESTWPVYFNL-UHFFFAOYSA-N,4-Methyl-2-pentanone,13.11,15.6718587875
Morgan,baseline_v0.3,0,JFDZBHWFFUWGJE-UHFFFAOYSA-N,Benzonitrile,25.2,29.0227012634
Morgan,baseline_v0.3,0,DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,39.5,15.1426801682
Morgan,baseline_v0.3,0,HEBKCHPVOIAQTA-NGQZWQHPSA-N,Xylitol,40,37.5679740906
Morgan,baseline_v0.3,0,NVJBFARDFTXOTO-UHFFFAOYSA-N,Ethyl sulfite,15.9,18.4401779175
Morgan,baseline_v0.3,0,SQYNKIJPMDEDEG-UHFFFAOYSA-N,Paraldehyde,13.9,8.57398605347
Morgan,baseline_v0.3,0,WFCLYEAZTHWNEH-UHFFFAOYSA-N,Ethyl thiocyanate,29.3,23.467710495
Morgan,baseline_v0.3,0,YPFDHNVEDLHUCE-UHFFFAOYSA-N,"1,3-Propanediol",35,22.7059307098
Morgan,baseline_v0.3,0,FERIUCNNQQJTOY-UHFFFAOYSA-N,Butyric acid,2.97,9.68459892273
Morgan,baseline_v0.3,0,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Morpholine,7.33,11.0535478592
Morgan,baseline_v0.3,0,WERYXYBDKMZEQL-UHFFFAOYSA-N,"1,4-Butanediol",30.2,25.9082355499
Morgan,baseline_v0.3,0,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,"1,1-Dimethoxyethane",3.49,8.21505355835
Morgan,baseline_v0.3,0,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,Valeric acid,2.66,11.1756353378
