repeat,representation,arm,fold,mae,rmse,r2,spearman,train_count,test_count
3,Morgan+Physical,augmented_pc_ec_train_only,1,6.09487183827,7.80225379235,0.475613838405,0.819958371878,189,47
3,Morgan,baseline_v0.3,2,8.57439106954,27.0269048252,-0.00810306367071,0.687060871717,187,47
3,Morgan,augmented_pc_ec_train_only,2,8.63344996607,27.0363661626,-0.00880900264402,0.669943334068,189,47
3,Physical,baseline_v0.3,2,7.26285126677,24.9078473955,0.143781312195,0.802659728245,187,47
3,Physical,augmented_pc_ec_train_only,2,7.06291257948,24.5730603642,0.166643542474,0.852153801677,189,47
3,Morgan+Physical,baseline_v0.3,2,7.20942602783,25.6482860292,0.0921188343392,0.829059582319,187,47
3,Morgan+Physical,augmented_pc_ec_train_only,2,7.11586983138,25.442523517,0.106627295384,0.834957070107,189,47
3,Morgan,baseline_v0.3,3,6.64840422951,11.1375232645,0.518616394925,0.787127016202,187,47
3,Morgan,augmented_pc_ec_train_only,3,6.93317161211,11.0703456778,0.524405951885,0.761510956129,189,47
3,Physical,baseline_v0.3,3,7.02925843405,11.4600609893,0.490331369144,0.750773322854,187,47
3,Physical,augmented_pc_ec_train_only,3,6.99421510845,11.9038925538,0.450089460964,0.749812085671,189,47
3,Morgan+Physical,baseline_v0.3,3,5.4386355978,10.2327019389,0.593655211001,0.8388066605,187,47
3,Morgan+Physical,augmented_pc_ec_train_only,3,5.55223945512,10.3170865116,0.586925685276,0.81961147086,189,47
3,Morgan,baseline_v0.3,4,7.44405486304,11.3492182608,0.514783069217,0.836730921083,188,46
3,Morgan,augmented_pc_ec_train_only,4,7.75281240661,11.3231578453,0.517008850176,0.8450548563,190,46
3,Physical,baseline_v0.3,4,5.48837312129,8.46366397295,0.730150961391,0.903197952753,188,46
3,Physical,augmented_pc_ec_train_only,4,5.2958544981,8.0084917648,0.758395223093,0.920467512079,190,46
3,Morgan+Physical,baseline_v0.3,4,5.62832672938,8.16249722449,0.74901362662,0.912948287461,188,46
3,Morgan+Physical,augmented_pc_ec_train_only,4,5.40446874298,7.73023383592,0.774892838003,0.924912887054,190,46
4,Morgan,baseline_v0.3,0,6.10818600717,9.42726590191,0.520946332928,0.716594883012,187,47
4,Morgan,augmented_pc_ec_train_only,0,6.00309755327,9.2861447987,0.53518133607,0.707929959855,189,47
4,Physical,baseline_v0.3,0,6.46518845434,12.3477700881,0.178155365325,0.874389292378,187,47
4,Physical,augmented_pc_ec_train_only,0,6.67812092639,12.4782108124,0.160699866105,0.835419618169,189,47
4,Morgan+Physical,baseline_v0.3,0,5.50447065988,8.57389794179,0.603750000531,0.886531179001,187,47
4,Morgan+Physical,augmented_pc_ec_train_only,0,5.60344384678,8.42670593446,0.617238425224,0.87993986912,189,47
4,Morgan,baseline_v0.3,1,10.2829185696,27.0346566007,0.0307361833016,0.682462126734,187,47
4,Morgan,augmented_pc_ec_train_only,1,10.1941171889,26.913046305,0.0394366707987,0.668969904006,189,47
4,Physical,baseline_v0.3,1,8.28320080404,25.2680003695,0.153275678442,0.799479618387,187,47
4,Physical,augmented_pc_ec_train_only,1,8.1985179908,25.0518826984,0.1676978344,0.757155247181,189,47
4,Morgan+Physical,baseline_v0.3,1,8.82427107661,25.8305052611,0.115157267427,0.78881790094,187,47
4,Morgan+Physical,augmented_pc_ec_train_only,1,8.70369995028,25.6477119296,0.127636392331,0.770951982052,189,47
4,Morgan,baseline_v0.3,2,5.88378539404,9.50139532183,0.617524726248,0.746094805114,187,47
4,Morgan,augmented_pc_ec_train_only,2,6.21787455188,9.66577396233,0.604176242075,0.743239033535,189,47
4,Physical,baseline_v0.3,2,5.03229723559,8.55652376788,0.689813201639,0.815485140718,187,47
4,Physical,augmented_pc_ec_train_only,2,5.36598845354,9.09299783659,0.64969788165,0.831328785939,189,47
4,Morgan+Physical,baseline_v0.3,2,4.91385646632,8.35893547628,0.70397353858,0.842704750143,187,47
4,Morgan+Physical,augmented_pc_ec_train_only,2,5.16614063338,8.46526220674,0.696394651958,0.854962273781,189,47
4,Morgan,baseline_v0.3,3,6.95064065571,15.8709792922,0.156990597228,0.794632344779,187,47
4,Morgan,augmented_pc_ec_train_only,3,6.95033264934,15.8558209899,0.158600137349,0.77067254435,189,47
4,Physical,baseline_v0.3,3,7.56715377446,14.5631311043,0.290202464297,0.812789084181,187,47
4,Physical,augmented_pc_ec_train_only,3,6.72876876315,12.8911681632,0.443827493782,0.826284293948,189,47
4,Morgan+Physical,baseline_v0.3,3,6.95960687986,14.1248460007,0.332283033383,0.848751156337,187,47
4,Morgan+Physical,augmented_pc_ec_train_only,3,6.51990012456,13.419302713,0.397322652259,0.839500462535,189,47
4,Morgan,baseline_v0.3,4,5.79157433278,7.1907094981,0.670857998243,0.764952660321,188,46
4,Morgan,augmented_pc_ec_train_only,4,5.73731414065,7.12734190302,0.676633516497,0.748295068114,190,46
4,Physical,baseline_v0.3,4,6.67734247125,9.29004631052,0.450616544808,0.680482317033,188,46
4,Physical,augmented_pc_ec_train_only,4,6.46297987067,9.22941646236,0.457764053354,0.704968085171,190,46
4,Morgan+Physical,baseline_v0.3,4,5.56426643886,7.34912020945,0.656196320059,0.79557159498,188,46
4,Morgan+Physical,augmented_pc_ec_train_only,4,5.39216364338,7.3522584064,0.655902637553,0.803712958693,190,46
5,Morgan,baseline_v0.3,0,11.1673062134,27.6250187134,0.0158770350461,0.724614679435,187,47
5,Morgan,augmented_pc_ec_train_only,0,11.2515861702,27.5720002049,0.0196509085059,0.728403325334,189,47
5,Physical,baseline_v0.3,0,8.58236892136,25.1673541683,0.183193234743,0.9144839549,187,47
5,Physical,augmented_pc_ec_train_only,0,8.45289797022,24.9843426144,0.195029327067,0.88264377121,189,47
5,Morgan+Physical,baseline_v0.3,0,9.67672043723,26.1159380684,0.120460264353,0.86669943085,187,47
5,Morgan+Physical,augmented_pc_ec_train_only,0,9.64288214667,25.9215738994,0.133503247534,0.857911017675,189,47
5,Morgan,baseline_v0.3,1,6.12707648934,9.41717130805,0.537738913253,0.734515741035,187,47
5,Morgan,augmented_pc_ec_train_only,1,6.01519148388,9.08780593694,0.569508596597,0.745200103743,189,47
5,Physical,baseline_v0.3,1,4.99803079353,7.26250936105,0.725071473264,0.854962273781,187,47
5,Physical,augmented_pc_ec_train_only,1,6.59733821361,9.39445326004,0.539966546599,0.815298777479,189,47
5,Morgan+Physical,baseline_v0.3,1,4.96901526783,7.07162079246,0.739334039008,0.836286895785,187,47
5,Morgan+Physical,augmented_pc_ec_train_only,1,5.37902544719,7.35635709055,0.717920191939,0.826804660517,189,47
5,Morgan,baseline_v0.3,2,6.93124186924,10.5327696027,0.461277502568,0.677582790588,187,47
5,Morgan,augmented_pc_ec_train_only,2,7.07922348654,10.8086654761,0.432685223896,0.670888652014,189,47
5,Physical,baseline_v0.3,2,6.03766856459,10.4059324967,0.474174126206,0.822978403883,187,47
5,Physical,augmented_pc_ec_train_only,2,6.04936620918,10.2307217979,0.491732320651,0.769377548097,189,47
5,Morgan+Physical,baseline_v0.3,2,5.55013375041,8.92011996498,0.613614042917,0.867707431343,187,47
5,Morgan+Physical,augmented_pc_ec_train_only,2,5.49447400623,8.80328341518,0.62366959198,0.843596416559,189,47
5,Morgan,baseline_v0.3,3,5.25551095242,8.26075597314,0.423941073712,0.741389788265,187,47
5,Morgan,augmented_pc_ec_train_only,3,5.41613825016,8.1908208607,0.433653553589,0.715521289722,189,47
5,Physical,baseline_v0.3,3,4.33254196819,6.56473512723,0.636200799479,0.820366033824,187,47
5,Physical,augmented_pc_ec_train_only,3,3.56987045514,5.34483941733,0.758844790744,0.861892512421,189,47
5,Morgan+Physical,baseline_v0.3,3,4.23470014947,6.58176981562,0.634310320611,0.849022783887,187,47
5,Morgan+Physical,augmented_pc_ec_train_only,3,4.00774398854,5.5422390867,0.740702793364,0.869062421957,189,47
5,Morgan,baseline_v0.3,4,6.80164164369,15.5485946496,0.269356513326,0.690665726879,188,46
5,Morgan,augmented_pc_ec_train_only,4,6.80831207309,15.507618432,0.273202463015,0.686059838613,190,46
5,Physical,baseline_v0.3,4,6.68605084181,12.4350380228,0.532676663356,0.732862561636,188,46
5,Physical,augmented_pc_ec_train_only,4,7.1105647526,13.0403336647,0.486073938575,0.71806099513,190,46
5,Morgan+Physical,baseline_v0.3,4,6.14276544563,13.266231531,0.468114220736,0.747394387912,188,46
5,Morgan+Physical,augmented_pc_ec_train_only,4,6.43974608061,13.3877513573,0.458325352372,0.736069567713,190,46
6,Morgan,baseline_v0.3,0,9.64423464063,18.2929798027,0.24108608675,0.61916196284,187,47
6,Morgan,augmented_pc_ec_train_only,0,10.0051832726,18.6959864023,0.20727898375,0.581460663199,189,47
6,Physical,baseline_v0.3,0,9.32073768117,15.0141718299,0.488758184038,0.763724668585,187,47
6,Physical,augmented_pc_ec_train_only,0,10.3192182971,16.4007023538,0.389973784421,0.711840888067,189,47
6,Morgan+Physical,baseline_v0.3,0,8.36754401226,15.1717445992,0.477970973917,0.752312673451,187,47
6,Morgan+Physical,augmented_pc_ec_train_only,0,9.00269839955,15.7208778798,0.439497965503,0.709528214616,189,47
6,Morgan,baseline_v0.3,1,10.068044962,26.3085384756,0.00685552770407,0.684940692922,187,47
6,Morgan,augmented_pc_ec_train_only,1,10.1744719112,26.2570908308,0.0107360157585,0.716223729312,189,47
6,Physical,baseline_v0.3,1,9.28507277883,26.3744388175,0.00187383466786,0.886698083576,187,47
6,Physical,augmented_pc_ec_train_only,1,9.44431926259,26.3125662419,0.00655140894132,0.876922633593,189,47
6,Morgan+Physical,baseline_v0.3,1,8.66086963281,25.572367554,0.0616586365949,0.867013587742,187,47
6,Morgan+Physical,augmented_pc_ec_train_only,1,8.62490910137,25.497539108,0.0671420472948,0.858373565737,189,47
6,Morgan,baseline_v0.3,2,5.8508615564,9.03163297017,0.341840899883,0.738029991971,187,47
6,Morgan,augmented_pc_ec_train_only,2,5.59432124036,8.81936593668,0.372414276332,0.764318048753,189,47
6,Physical,baseline_v0.3,2,5.78069967217,7.70585531399,0.520884710044,0.792262991965,187,47
6,Physical,augmented_pc_ec_train_only,2,5.26151219092,7.70342729007,0.521186589606,0.811576606979,189,47
6,Morgan+Physical,baseline_v0.3,2,5.23201157067,7.30925777452,0.568932891265,0.806938421509,187,47
6,Morgan+Physical,augmented_pc_ec_train_only,2,4.77517723757,6.78559515764,0.628486824581,0.824168834923,189,47
6,Morgan,baseline_v0.3,3,5.84219061336,10.382941967,0.516401831046,0.781633971438,187,47
