Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
129,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,325,0.003076923076923,-0.5131981,False
130,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,330,0.003030303030303,-0.5603286,False
131,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,270,0.0037037037037037,0.3690375,False
132,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,275,0.0036363636363636,0.34479457,False
133,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,280,0.0035714285714285,0.2875307,False
134,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,285,0.0035087719298245,0.22256163,False
135,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,290,0.0034482758620689,0.1279848,False
136,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,295,0.0033898305084745,0.047099136,False
137,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,300,0.0033333333333333,-0.041459344,False
138,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,305,0.0032786885245901,-0.12904193,False
139,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,310,0.0032258064516129,-0.19443434,False
140,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,315,0.0031746031746031,-0.25317845,False
141,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,320,0.003125,-0.2981614,False
142,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,325,0.003076923076923,-0.35903305,False
143,TTE (C5H4F8O),FC(F)C(F)(F)COC(F)(F)C(F)F,330,0.003030303030303,-0.4273765,False
144,DOL (C3H6O2),C1COCO1,270,0.0037037037037037,-0.07635033,True
145,DOL (C3H6O2),C1COCO1,275,0.0036363636363636,-0.09288286,True
146,DOL (C3H6O2),C1COCO1,280,0.0035714285714285,-0.047271557,True
147,DOL (C3H6O2),C1COCO1,285,0.0035087719298245,-0.0014244057,True
148,DOL (C3H6O2),C1COCO1,290,0.0034482758620689,-0.008359419,True
149,DOL (C3H6O2),C1COCO1,295,0.0033898305084745,-0.037814118,True
150,DOL (C3H6O2),C1COCO1,300,0.0033333333333333,-0.056537546,True
151,DOL (C3H6O2),C1COCO1,305,0.0032786885245901,-0.085041985,True
152,DOL (C3H6O2),C1COCO1,310,0.0032258064516129,-0.120870754,True
153,DOL (C3H6O2),C1COCO1,315,0.0031746031746031,-0.15666169,True
154,DOL (C3H6O2),C1COCO1,320,0.003125,-0.18947901,True
155,DOL (C3H6O2),C1COCO1,325,0.003076923076923,-0.22067922,True
156,DOL (C3H6O2),C1COCO1,330,0.003030303030303,-0.24575126,True
157,Diethyl ether (C4H10O1),CCOCC,270,0.0037037037037037,-0.45495555,True
158,Diethyl ether (C4H10O1),CCOCC,275,0.0036363636363636,-0.46559694,True
159,Diethyl ether (C4H10O1),CCOCC,280,0.0035714285714285,-0.49334416,True
160,Diethyl ether (C4H10O1),CCOCC,285,0.0035087719298245,-0.5141608,True
161,Diethyl ether (C4H10O1),CCOCC,290,0.0034482758620689,-0.52298373,True
162,Diethyl ether (C4H10O1),CCOCC,295,0.0033898305084745,-0.530514,True
163,Diethyl ether (C4H10O1),CCOCC,300,0.0033333333333333,-0.53859067,True
164,Diethyl ether (C4H10O1),CCOCC,305,0.0032786885245901,-0.54469323,True
165,Diethyl ether (C4H10O1),CCOCC,310,0.0032258064516129,-0.5525923,True
166,Diethyl ether (C4H10O1),CCOCC,315,0.0031746031746031,-0.5645991,True
167,Diethyl ether (C4H10O1),CCOCC,320,0.003125,-0.5804784,True
168,Diethyl ether (C4H10O1),CCOCC,325,0.003076923076923,-0.5988228,True
169,Diethyl ether (C4H10O1),CCOCC,330,0.003030303030303,-0.6162904,True
170,FM (CH3F),CF,270,0.0037037037037037,-0.68585086,False
171,FM (CH3F),CF,275,0.0036363636363636,-0.68841463,False
