representation,repeat,fold,seed,train_count,test_count,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,model_params
Morgan+Physical,2,3,55,189,47,7.39670456265,13.5925556748,0.524176115216,0.897979243531,0.966666666667,0.962162162162,3.93643479527,11.5515881475,75.1872736359,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":55,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,2,4,56,189,47,5.42629472845,10.0089369854,0.368629275671,0.751519724808,0.958333333333,0.9,4.18737353151,4.90513339233,58.8278704834,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":56,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,2,4,56,189,47,4.52662886508,7.19784786403,0.673476940993,0.793142328817,0.900641025641,1,3.93259365814,3.97447714233,31.6428309631,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":56,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,2,4,56,189,47,4.66505189724,8.06932435053,0.589623129323,0.851864702205,0.945512820513,0.988888888889,3.78774506674,3.74490852356,45.2353488159,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":56,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,3,0,57,188,48,4.78920284924,6.4209338593,0.448635819304,0.670675105936,0.854545454545,0.978723404255,4.54145027804,5.73066261978,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":57,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,3,0,57,188,48,8.11915234555,13.5612055957,-1.45945429565,0.536666124657,0.757575757576,0.914893617021,7.74470558048,9.54205005283,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":57,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,3,0,57,188,48,5.96555155056,8.92708613789,-0.0657653752823,0.633501602193,0.812121212121,0.914893617021,5.61670696049,7.29116099281,nan,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":57,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,3,1,58,189,47,7.41488853377,16.0122427064,0.107029549997,0.717288865628,0.867965367965,0.758130081301,4.27118390724,9.85537368011,96.1834036255,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":58,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,3,1,58,189,47,6.08551239799,10.0871083268,0.645622509412,0.881443150321,0.937229437229,0.934959349593,3.44988097262,12.081417366,41.0091940308,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":58,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,3,1,58,189,47,6.3409148308,12.004079759,0.498130846213,0.899398704903,0.945887445887,0.934959349593,3.4739028759,10.4366194687,68.5962988281,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":58,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,3,2,59,189,47,6.12162717925,11.2661889608,0.46718100375,0.800545719112,0.954545454545,0.871428571429,3.6771782568,13.0882440186,37.59406353,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":59,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,3,2,59,189,47,5.5924517569,9.57313065357,0.615289880532,0.862792714657,0.917748917749,0.961904761905,4.00745578842,7.67456219482,32.0870950317,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":59,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,3,2,59,189,47,5.67468304922,9.56342567214,0.61606950262,0.889422104387,0.943722943723,0.957142857143,3.71212660627,9.70877590942,34.8405797577,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":59,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,3,3,60,189,47,10.335042719,27.0184607408,0.098916031037,0.704224130748,0.916666666667,0.814285714286,4.16239802371,13.0494922002,109.227624569,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":60,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,3,3,60,189,47,9.39245271334,26.6782056315,0.121468600873,0.7875108426,0.965367965368,0.95,3.45098666742,11.0901953761,108.698999557,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":60,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
