dataset,train_size,run,n_train_pool,n_test,train_id_hash,test_id_hash,mae,rmse,r2
v0.2,20,5,190,20,94a702bd39abad596cdac87e1bd218db4bf2e60e1bb88fa1fb2a64745961898e,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.942685994695703,24.124417831746225,-0.0066239327246337965
v0.2,20,6,190,20,541f3ef9f24dcd268b4676ddb6507e6725894d23356260b497dfc4c8800ad288,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.886868281848535,24.675307454911916,-0.0531220680514779
v0.2,20,7,190,20,f908563723901f4e91b5560495940c3c3832e62d75c220d70dd11a381ae43a06,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.101948799191568,24.46831421217946,-0.03552756944556679
v0.2,20,8,190,20,b31302a343658d9ad65206a736544800226e3493b3a42c215945eb28d7995a86,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.436545000000002,26.120665515976043,-0.18010878650169526
v0.2,20,9,190,20,de42c6f351350baa0be4216e5f00cc1369dec66f529bd3134c44beecf698bebd,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,18.085775,28.361881222381918,-0.3913091325707445
v0.2,40,0,190,20,384bb0d6d42533705d43194fd35ea6399d2fb58a49624c5c997599048b135471,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.576485311838349,25.899900612354404,-0.16024515388098926
v0.2,40,1,190,20,e5e0a1c6bffd81e9a699d9310c2c4b866fa2f0c721f27b7a9675d35f9aa5469a,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.901968861179725,28.169273781138973,-0.37247635016636016
v0.2,40,2,190,20,f8fb4b1f3cf9a6d751a26301d41e01351ca0903a57cd86e2d6f43517224f3850,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,14.680479444224536,24.97392221739816,-0.07876557137403717
v0.2,40,3,190,20,98c28677778fd89ce64adaed276eb1c66d20d64e3e9415c9dedbd2a8eb74f803,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.666681724651237,23.59154524690894,0.03735459022910714
v0.2,40,4,190,20,0f6924ef95c4b455b919820039a54f4c61b1c5f9beb431f7011d00f7209abd0e,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,12.370130002214768,23.699933504080303,0.028488774606150846
