representation,arm,repeat,split,calibration_count,test_count,infinite_interval_count,infinite_interval_rate,quantile_abs_error_median,normalized_quantile_median,interval_width,coverage,coverage_lt20,coverage_20_60,coverage_gt60,normalized_interval_width,normalized_coverage,normalized_coverage_lt20,normalized_coverage_20_60,normalized_coverage_gt60,fold0_calibration_count,fold0_test_count,fold0_quantile,fold0_coverage,fold0_normalized_quantile,fold0_normalized_coverage,fold1_calibration_count,fold1_test_count,fold1_quantile,fold1_coverage,fold1_normalized_quantile,fold1_normalized_coverage,fold2_calibration_count,fold2_test_count,fold2_quantile,fold2_coverage,fold2_normalized_quantile,fold2_normalized_coverage,fold3_calibration_count,fold3_test_count,fold3_quantile,fold3_coverage,fold3_normalized_quantile,fold3_normalized_coverage,fold4_calibration_count,fold4_test_count,fold4_quantile,fold4_coverage,fold4_normalized_quantile,fold4_normalized_coverage
Morgan,baseline_v0.3,0,20,117,117,0,0,19.4104175568,1.03092354136,33.4619285819,0.905982905983,0.978021978022,0.739130434783,0,29.1261425576,0.931623931624,0.989010989011,0.826086956522,0,24,23,15.1223162079,0.95652173913,1.24792869664,1,27,20,19.4104175568,0.85,0.920379415243,0.8,20,27,9.38768116,0.814814814815,0.75997113812,0.925925925926,23,24,20.2087543488,0.916666666667,1.16535771162,0.916666666667,23,23,21.0010305405,1,1.03092354136,1
Morgan,baseline_v0.3,0,21,117,117,0,0,15.1223162079,1.03092354136,37.8984935709,0.905982905983,0.989010989011,0.695652173913,0,38.6737132719,0.897435897436,0.967032967033,0.739130434783,0,22,25,15.1223162079,0.96,1.12323373199,0.96,22,25,14.0910305405,0.76,0.674057929078,0.72,28,19,11.9777183533,0.789473684211,0.658993202918,0.789473684211,21,26,30.6588032532,1,3.02916779706,1,24,22,21.0010305405,1,1.03092354136,1
Morgan,baseline_v0.3,0,22,117,117,0,0,19.6547820282,1.16535771162,38.4684847015,0.931623931624,0.989010989011,0.863636363636,0,40.4949211419,0.940170940171,0.978021978022,0.909090909091,0.25,28,19,15.3037826538,1,1.24792869664,1,26,21,27.569463253,0.904761904762,3.27019074591,0.952380952381,21,26,13.9314105988,0.923076923077,0.755518663448,0.884615384615,18,29,20.2087543488,0.896551724138,1.16535771162,0.896551724138,24,22,19.6547820282,0.954545454545,1.03092354136,1
Morgan,baseline_v0.3,0,23,117,117,0,0,20.2087543488,1.16535771162,58.9065294419,0.923076923077,0.989130434783,0.739130434783,0,50.5690754721,0.948717948718,0.989130434783,0.869565217391,0,20,27,13.0367311096,0.851851851852,1.24792869664,1,16,31,62.8265372467,0.967741935484,3.68625426394,0.967741935484,23,24,20.2692386627,0.958333333333,0.850960811541,0.958333333333,26,21,20.2087543488,0.904761904762,1.16535771162,0.904761904762,32,14,16.8265720367,0.928571428571,0.701792233308,0.857142857143
Morgan,baseline_v0.3,0,24,117,117,0,0,19.4104175568,0.850960811541,39.3420537443,0.91452991453,1,0.72,0,36.3199911723,0.897435897436,0.988764044944,0.68,0,23,24,13.4300689697,0.875,0.799778333594,0.875,22,25,19.4104175568,0.88,0.920379415243,0.84,26,21,20.2692386627,0.952380952381,0.850960811541,0.952380952381,22,25,30.6588032532,1,3.02916779706,1,24,22,13.7183616638,0.863636363636,0.663392428586,0.818181818182
Morgan,baseline_v0.3,0,25,117,117,0,0,19.4104175568,0.855140634345,38.70424147,0.940170940171,0.989130434783,0.904761904762,0,35.6753862681,0.888888888889,0.945652173913,0.809523809524,0,20,27,15.3037826538,1,0.855140634345,0.925925925926,19,28,19.4104175568,0.892857142857,0.920379415243,0.857142857143,24,23,20.2692386627,0.95652173913,0.850960811541,0.95652173913,25,22,30.6588032532,1,3.02916779706,1,29,17,9.8128318787,0.823529411765,0.636892335024,0.647058823529
Morgan,baseline_v0.3,0,26,117,117,0,0,13.9314105988,0.75997113812,30.6211462755,0.888888888889,1,0.64,0,39.8958080448,0.871794871795,0.954545454545,0.72,0,24,23,15.1223162079,0.95652173913,1.12323373199,0.95652173913,23,24,27.569463253,0.916666666667,3.27019074591,0.958333333333,23,24,13.9314105988,0.916666666667,0.75997113812,0.916666666667,23,24,9.6508546066,0.833333333333,0.708676775285,0.708333333333,24,22,9.8128318787,0.818181818182,0.663392428586,0.818181818182
Morgan,baseline_v0.3,0,27,117,117,0,0,16.8265720367,1.12323373199,40.6624741774,0.905982905983,0.988372093023,0.75,0,53.3060472047,0.940170940171,1,0.857142857143,0,26,21,12.8504940033,0.761904761905,1.12323373199,0.952380952381,20,27,29.2300537109,0.962962962963,3.27019074591,0.962962962963,29,18,12.7768798828,0.888888888889,0.755518663448,0.888888888889,21,26,25.732106781,0.961538461538,2.90171590315,0.961538461538,21,25,16.8265720367,0.92,0.715388391447,0.92
Morgan,baseline_v0.3,0,28,117,117,0,0,19.6547820282,1.12323373199,57.3411479839,0.957264957265,1,0.869565217391,0,58.1410625507,0.965811965812,1,0.869565217391,0.5,25,22,15.1223162079,0.954545454545,1.12323373199,0.954545454545,21,26,62.8265372467,1,3.68625426394,1,25,22,13.9314105988,0.909090909091,0.75997113812,0.909090909091,21,26,25.732106781,0.961538461538,2.90171590315,0.961538461538,25,21,19.6547820282,0.952380952381,1.03092354136,1
Morgan,baseline_v0.3,0,29,117,117,0,0,15.1223162079,0.850960811541,30.0444280008,0.871794871795,0.978260869565,0.545454545455,0,22.1007791824,0.888888888889,0.989130434783,0.590909090909,0,24,23,15.1223162079,0.95652173913,0.855140634345,0.913043478261,28,19,14.0910305405,0.684210526316,0.875275313488,0.736842105263,22,25,20.2692386627,0.96,0.850960811541,0.96,21,26,8.9033649826,0.807692307692,0.760071196908,0.884615384615,22,24,16.8265720367,0.916666666667,0.715388391447,0.916666666667
Morgan,baseline_v0.3,0,30,117,117,0,0,25.732106781,1.52233008401,46.2802258877,0.931623931624,0.989473684211,0.789473684211,0,50.865883558,0.905982905983,0.947368421053,0.842105263158,0,27,20,15.1223162079,0.95,1.12323373199,0.95,24,23,29.2300537109,0.95652173913,3.27019074591,0.95652173913,18,29,33.5391887665,1,1.52233008401,1,26,21,25.732106781,0.952380952381,2.90171590315,0.952380952381,22,24,9.1518724289,0.791666666667,0.602032591543,0.666666666667
Morgan,baseline_v0.3,0,31,117,117,0,0,20.2087543488,1.16535771162,58.2738980976,0.957264957265,1,0.84,0,49.4026722776,0.965811965812,1,0.84,1,27,20,15.1223162079,0.95,1.12323373199,0.95,23,24,62.8265372467,1,3.68625426394,1,27,20,27.1593532562,1,1.18258918937,1,22,25,20.2087543488,0.92,1.16535771162,0.92,18,28,19.6547820282,0.928571428571,1.03092354136,0.964285714286
