selection_rank,selected_for_v02,selection_eligible,selection_exclusion,source_id,source_page,compound_name,formula,dielectric,t_C,T_K,source_quality,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,smiles,inchikey,molecular_formula,formula_match,resolution_source,resolved_name,max_tanimoto_solvfunc,al_round1_hit,carbon_count,hetero_count,polar_group_bonus,hazard_flags,stability_flags,priority_score,notes
41,true,true,,nbs514:p29:009,29,Propyl ether,C6H14O,3.39,26,299.15,three_figures,,,,107,,CCCOCCC,POLCUAVZOMRGSN-UHFFFAOYSA-N,C6H14O,true,pubchem,Propyl ether,0.000000,false,6,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
42,true,true,,nbs514:p29:010,29,Isopropyl ether,C6H14O,3.88,25,298.15,three_figures,1800,a,0 to 25,"156,206 [107,198]",,CC(C)OC(C)C,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,C6H14O,true,pubchem,Isopropyl ether,0.000000,false,6,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
43,true,true,,nbs514:p31:005,31,Benzyl alcohol,C7H8O,13.1,20,293.15,three_figures,,,,"26,56 [8,256]",,OCc1ccccc1,WVDDGKGOMKODPV-UHFFFAOYSA-N,C7H8O,true,pubchem,Benzyl alcohol,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
44,true,true,,nbs514:p31:006,31,o-Cresol,C7H8O,11.5,25,298.15,three_figures,11000,a,25 to 30,261 [61],,Cc1ccccc1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,C7H8O,true,pubchem,o-Cresol,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
45,true,true,,nbs514:p31:007,31,m-Cresol,C7H8O,11.8,25,298.15,three_figures,410,alpha,15 to 50,"56,145,261 [43,61]",,Cc1cccc(O)c1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,C7H8O,true,pubchem,m-Cresol,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
46,true,true,,nbs514:p31:008,31,Methoxybenzene (Anisole),C7H8O,4.33,25,298.15,three_figures,1100,a,20 to 40,"66,144,260,277",,COc1ccccc1,RDOXTESZEPMUJZ-UHFFFAOYSA-N,C7H8O,true,pubchem,Anisole,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
47,true,true,,nbs514:p32:001,32,2-Methylcyclohexanone,C7H12O,14.0,20,293.15,three_figures,,,,232,,CC1CCCCC1=O,LFSAPCRASZRSKS-UHFFFAOYSA-N,C7H12O,true,pubchem,2-Methylcyclohexanone,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
48,true,true,,nbs514:p32:002,32,3-Methylcyclohexanone,C7H12O,12.4,20,293.15,three_figures,,,,232,,CC1CCCC(=O)C1,UJBOOUHRTQVGRU-UHFFFAOYSA-N,C7H12O,true,pubchem,3-Methylcyclohexanone,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
49,true,true,,nbs514:p32:003,32,4-Methylcyclohexanone,C7H12O,12.4,20,293.15,three_figures,,,,232,,CC1CCC(=O)CC1,VGVHNLRUAMRIEW-UHFFFAOYSA-N,C7H12O,true,pubchem,4-Methylcyclohexanone,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
50,true,true,,nbs514:p32:013,32,2-Methylcyclohexanol,C7H14O,13.3,20,293.15,three_figures,560,alpha,20,232 [261],,CC1CCCCC1O,NDVWOBYBJYUSMF-UHFFFAOYSA-N,C7H14O,true,pubchem,2-Methylcyclohexanol,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
