selection_rank,selected_for_v02,selection_eligible,selection_exclusion,source_id,source_page,compound_name,formula,dielectric,t_C,T_K,source_quality,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,smiles,inchikey,molecular_formula,formula_match,resolution_source,resolved_name,max_tanimoto_solvfunc,al_round1_hit,carbon_count,hetero_count,polar_group_bonus,hazard_flags,stability_flags,priority_score,notes
108,true,true,,nbs514:p27:006,27,"2,4-Hexadiene",C6H10,2.22,25,298.15,three_figures,,,,130,,CC=CC=CC,APPOKADJQUIAHP-UHFFFAOYSA-N,C6H10,true,pubchem,"2,4-Hexadiene",0.000000,false,6,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
109,true,true,,nbs514:p27:007,27,"2-Methyl-1,3-pentadiene",C6H10,2.42,25,298.15,three_figures,,,,"104,130",,C=C(C)C=CC,RCJMVGJKROQDCB-UHFFFAOYSA-N,C6H10,true,pubchem,"2-Methyl-1,3-pentadiene",0.000000,false,6,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
110,true,true,,nbs514:p27:008,27,"3-Methyl-1,3-pentadiene",C6H10,2.43,25,298.15,three_figures,,,,"104,130",,C=C/C(C)=C/C,BOGRNZQRTNVZCZ-AATRIKPKSA-N,C6H10,true,pubchem,"3-Methyl-1,3-pentadiene",0.000000,false,6,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
111,false,true,,nbs514:p27:009,27,"4-Methyl-1,3-pentadiene",C6H10,2.60,25,298.15,three_figures,,,,"129,130",,C=CC=C(C)C,CJSBUWDGPXGFGA-UHFFFAOYSA-N,C6H10,true,pubchem,"4-Methyl-1,3-pentadiene",0.000000,false,6,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
112,false,true,,nbs514:p27:010,27,"2,3-Dimethyl-1,3-butadiene",C6H10,2.10,25,298.15,three_figures,170,a,-50 to 50,"129,130",,C=C(C)C(=C)C,SDJHPPZKZZWAKF-UHFFFAOYSA-N,C6H10,true,pubchem,"2,3-Dimethyl-1,3-butadiene",0.000000,false,6,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
113,false,true,,nbs514:p32:008,32,1-Heptene,C7H14,2.05,20,293.15,three_figures,,,,151,,C=CCCCCC,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,C7H14,true,pubchem,1-Heptene,0.000000,false,7,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
114,false,true,,nbs514:p32:009,32,2-Methyl-2-hexene,C7H14,2.96,20,293.15,three_figures,,,,283,,CCCC=C(C)C,BWEKDYGHDCHWEN-UHFFFAOYSA-N,C7H14,true,pubchem,2-Methyl-2-hexene,0.000000,false,7,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p19:017,19,Methyl cyanoacetate,C4H5NO2,28.8,20,293.15,three_figures,,,,17,f=4x10^8 cycles/sec,COC(=O)CC#N,ANGDWNBGPBMQHW-UHFFFAOYSA-N,C4H5NO2,true,pubchem,Methyl cyanoacetate,0.000000,false,4,3,4,,,33.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p27:016,27,Ethyl acetoacetate,C6H10O3,15.7,22,295.15,three_figures,,,,7,f=4x10^8 cycles/sec,CCOC(=O)CC(C)=O,XYIBRDXRRQCHLP-UHFFFAOYSA-N,C6H10O3,true,pubchem,Ethyl acetoacetate,0.000000,false,6,3,4,,,33.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p32:004,32,Ethyl levulinate,C7H12O3,11.9,21,294.15,three_figures,,,,7,f=4x10^8 cycles/sec,CCOC(=O)CCC(C)=O,GMEONFUTDYJSNV-UHFFFAOYSA-N,C7H12O3,true,pubchem,Ethyl levulinate,0.000000,false,7,3,4,,,33.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:aliphatic_halogen,nbs514:p27:020,27,dl-threo-2-Acetoxy-3-bromobutane,C6H11BrO2,7.414,25,298.15,four_figures,,,,238,,CC(=O)OC(C)C(C)Br,UAENTLSAGQVMDD-UHFFFAOYSA-N,C6H11BrO2,true,cactus,2-Acetoxy-3-bromobutane,0.000000,false,6,3,3,,aliphatic_halogen,30.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:aliphatic_halogen,nbs514:p19:019,19,Ethyl dichloroacetate,C4H6Cl2O2,10.3,22,295.15,three_figures,,,,26,,CCOC(=O)C(Cl)Cl,IWYBVQLPTCMVFO-UHFFFAOYSA-N,C4H6Cl2O2,true,pubchem,Ethyl dichloroacetate,0.000000,false,4,4,3,,aliphatic_halogen,27.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p23:004,23,Dimethyl malonate,C5H8O4,10.3,20,293.15,three_figures,,,,17 [27],f=4x10^8 cycles/sec,COC(=O)CC(=O)OC,BEPAFCGSDWSTEL-UHFFFAOYSA-N,C5H8O4,true,pubchem,Dimethyl malonate,0.000000,false,5,4,3,,,27.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|hazard:acyl_halide,nbs514:p17:009,17,Ethyl chloroformate,C3H5ClO2,11.0,20,293.15,three_figures,,,,17 [27],f=4x10^8 cycles/sec,CCOC(=O)Cl,RIFGWPKJUGCATF-UHFFFAOYSA-N,C3H5ClO2,true,pubchem,Ethyl chloroformate,0.000000,false,3,3,3,acyl_halide,,26.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|stability:aliphatic_halogen,nbs514:p17:010,17,Methyl chloroacetate,C3H5ClO2,12.9,21,294.15,three_figures,,,,27,f=5x10^8 cycles/sec,COC(=O)CCl,QABLOFMHHSOFRJ-UHFFFAOYSA-N,C3H5ClO2,true,pubchem,Methyl chloroacetate,0.000000,false,3,3,3,,aliphatic_halogen,26.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|hazard:acyl_halide,nbs514:p20:006,20,Propyl chloroformate,C4H7ClO2,11.2,20,293.15,three_figures,,,,27,f=5x10^8 cycles/sec,CCCOC(=O)Cl,QQKDTTWZXHEGAQ-UHFFFAOYSA-N,C4H7ClO2,true,pubchem,Propyl chloroformate,0.000000,false,4,3,3,acyl_halide,,26.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|stability:aliphatic_halogen,nbs514:p20:007,20,Ethyl chloroacetate,C4H7ClO2,11.4,21,294.15,three_figures,,,,27,f=5x10^8 cycles/sec,CCOC(=O)CCl,VEUUMBGHMNQHGO-UHFFFAOYSA-N,C4H7ClO2,true,pubchem,Ethyl chloroacetate,0.000000,false,4,3,3,,aliphatic_halogen,26.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|stability:aliphatic_halogen,nbs514:p23:008,23,Ethyl alpha-chloropropionate,C5H9ClO2,10.1,20,293.15,three_figures,,,,27,f=5x10^8 cycles/sec,CCOC(=O)C(C)Cl,JEAVBVKAYUCPAQ-UHFFFAOYSA-N,C5H9ClO2,true,pubchem,Ethyl alpha-chloropropionate,0.000000,false,5,3,3,,aliphatic_halogen,26.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p31:009,31,o-Methoxyphenol (Guaiacol),C7H8O2,11.7,28,301.15,three_figures,,,,27,f=5x10^8 cycles/sec,COc1ccccc1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,C7H8O2,true,pubchem,Guaiacol,0.000000,false,7,2,2,,,19.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p13:013,13,Nitromethane,CH3NO2,35.87,30,303.15,four_figures,189.000,alpha,"12,92","78,295 [41]",,C[N+](=O)[O-],LYGJENNIWJXYER-UHFFFAOYSA-N,CH3NO2,true,pubchem,Nitromethane,0.000000,false,1,3,1,nitro,,16.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p26:007,26,Nitrobenzene,C6H5NO2,34.82,25,298.15,four_figures,225,alpha,10 to 80,"85,138 [12,38,41,78,141,194,250]",,O=[N+]([O-])c1ccccc1,LQNUZADURLCDLV-UHFFFAOYSA-N,C6H5NO2,true,pubchem,Nitrobenzene,0.000000,false,6,3,1,nitro,,16.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p13:003,13,Tetranitromethane,CN4O8,2.521,25,298.15,three_figures,,,,225 [26],,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],NYTOUQBROMCLBJ-UHFFFAOYSA-N,CN4O8,true,pubchem,Tetranitromethane,0.000000,false,1,12,1,nitro,,15.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p15:012,15,Ethylene nitrate,C2H4N2O6,28.3,20,293.15,three_figures,,,,244,,O=[N+]([O-])OCCO[N+](=O)[O-],UQXKXGWGFRWILX-UHFFFAOYSA-N,C2H4N2O6,true,pubchem,Ethylene nitrate,0.000000,false,2,8,1,nitro,,15.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro|stability:aliphatic_halogen,nbs514:p17:006,17,"3-Chloro-1,2-propanediol dinitrate",C3H5ClN2O6,17.5,20,293.15,three_figures,,,,244,,O=[N+]([O-])OCC(CCl)O[N+](=O)[O-],SUAJWTBTMNHVBZ-UHFFFAOYSA-N,C3H5ClN2O6,true,pubchem,"3-Chloro-1,2-propanediol dinitrate",0.000000,false,3,9,1,nitro,aliphatic_halogen,15.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p17:018,17,"1,2,3-Propanetriol trinitrate (Nitroglycerin)",C3H5N3O9,19.3,20,293.15,three_figures,,,,244,,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],SNIOPGDIGTZGOP-UHFFFAOYSA-N,C3H5N3O9,true,pubchem,Nitroglycerin,0.000000,false,3,12,1,nitro,,15.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p18:003,18,"1,2-Propanediol dinitrate",C3H6N2O6,26.8,20,293.15,three_figures,,,,244,,CC(CO[N+](=O)[O-])O[N+](=O)[O-],PSXCGTLGGVDWFU-UHFFFAOYSA-N,C3H6N2O6,true,pubchem,"1,2-Propanediol dinitrate",0.000000,false,3,8,1,nitro,,15.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p18:004,18,"1,3-Propanediol dinitrate",C3H6N2O6,19.0,20,293.15,three_figures,,,,244,,O=[N+]([O-])OCCCO[N+](=O)[O-],KOSAMXZBGUIISK-UHFFFAOYSA-N,C3H6N2O6,true,pubchem,"1,3-Propanediol dinitrate",0.000000,false,3,8,1,nitro,,15.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p16:004,16,Ethyl nitrate,C2H5NO3,19.4,20,293.15,three_figures,9000,a,"0,50","7,17,26 [4,14]",,CCO[N+](=O)[O-],IDNUEBSJWINEMI-UHFFFAOYSA-N,C2H5NO3,true,pubchem,Ethyl nitrate,0.000000,false,2,4,1,nitro,,13.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p21:012,21,Butyl nitrate,C4H9NO3,13.1,20,293.15,three_figures,,,,244,,CCCCO[N+](=O)[O-],QQHZPQUHCAKSOL-UHFFFAOYSA-N,C4H9NO3,true,pubchem,Butyl nitrate,0.000000,false,4,4,1,nitro,,13.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p16:003,16,Nitroethane,C2H5NO2,28.04,30,303.15,three_figures,11400.0,a,"30,35",295 [14],,CC[N+](=O)[O-],MCSAJNNLRCFZED-UHFFFAOYSA-N,C2H5NO2,true,pubchem,Nitroethane,0.000000,false,2,3,1,nitro,,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|stability:aliphatic_halogen,nbs514:p17:001,17,"1,1-Dichloro-2-propanone",C3H4Cl2O,14.68,20,293.15,three_figures,,,,27,f=5x10^8 cycles/sec,CC(=O)C(Cl)Cl,CSVFWMMPUJDVKH-UHFFFAOYSA-N,C3H4Cl2O,true,pubchem,"1,1-Dichloro-2-propanone",0.000000,false,3,3,1,,aliphatic_halogen,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent|stability:aliphatic_halogen,nbs514:p17:003,17,alpha-Bromopropionic acid,C3H5BrO2,11.0,21,294.15,three_figures,,,,27,f=5x10^8 cycles/sec,CC(Br)C(=O)O,MONMFXREYOKQTI-UHFFFAOYSA-N,C3H5BrO2,true,pubchem,alpha-Bromopropionic acid,0.000000,false,3,3,1,,aliphatic_halogen,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p18:017,18,1-Nitropropane,C3H7NO2,23.24,30,303.15,three_figures,10100.0,a,"30,35",295,,CCC[N+](=O)[O-],JSZOAYXJRCEYSX-UHFFFAOYSA-N,C3H7NO2,true,pubchem,1-Nitropropane,0.000000,false,3,3,1,nitro,,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p18:018,18,2-Nitropropane,C3H7NO2,25.52,30,303.15,three_figures,10900.0,a,"30,35",295,,CC(C)[N+](=O)[O-],FGLBSLMDCBOPQK-UHFFFAOYSA-N,C3H7NO2,true,pubchem,2-Nitropropane,0.000000,false,3,3,1,nitro,,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:aliphatic_halogen,nbs514:p20:015,20,"beta,beta'-Dichlorodiethyl ether",C4H8Cl2O,21.2,20,293.15,three_figures,,,,156,,ClCCOCCCl,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,C4H8Cl2O,true,pubchem,"beta,beta'-Dichlorodiethyl ether",0.000000,false,4,3,1,,aliphatic_halogen,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p31:001,31,o-Nitrotoluene,C7H7NO2,27.4,20,293.15,three_figures,15000,a,20,"12,85 [50]",,Cc1ccccc1[N+](=O)[O-],PLAZTCDQAHEYBI-UHFFFAOYSA-N,C7H7NO2,true,pubchem,o-Nitrotoluene,0.000000,false,7,3,1,nitro,,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:nitro,nbs514:p31:002,31,m-Nitrotoluene,C7H7NO2,23.8,20,293.15,three_figures,,,,53 [27],,Cc1cccc([N+](=O)[O-])c1,QZYHIOPPLUPUJF-UHFFFAOYSA-N,C7H7NO2,true,pubchem,m-Nitrotoluene,0.000000,false,7,3,1,nitro,,12.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:aliphatic_halogen,nbs514:p15:018,15,2-Chloroethanol (Ethylene chlorohydrin),C2H5ClO,25.8,25,298.15,three_figures,,,,41,,OCCCl,SZIFAVKTNFCBPC-UHFFFAOYSA-N,C2H5ClO,true,cactus,2-Chloroethanol (Ethylene chlorohydrin),0.000000,false,2,2,1,,aliphatic_halogen,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:epoxide|stability:aliphatic_halogen,nbs514:p17:008,17,"3-Chloro-1,2-epoxypropane (Epichlorohydrin)",C3H5ClO,22.6,22,295.15,three_figures,,,,26 [27],,ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,C3H5ClO,true,pubchem,Epichlorohydrin,0.000000,false,3,2,1,epoxide,aliphatic_halogen,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,hazard:aldehyde,nbs514:p30:009,30,Salicylaldehyde,C7H6O2,17.1,30,303.15,three_figures,7000,a,30 to 40,"261 [4,7,17]",,O=Cc1ccccc1O,SMQUZDBALVYZAC-UHFFFAOYSA-N,C7H6O2,true,pubchem,Salicylaldehyde,0.000000,false,7,2,1,aldehyde,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:hydrogen_cyanide,nbs514:p13:007,13,Hydrocyanic acid,CHN,114.9,20,293.15,three_figures,630.00,alpha,"18,26","255 [39,76]",,C#N,LELOWRISYMNNSU-UHFFFAOYSA-N,CHN,true,pubchem,Hydrocyanic acid,0.000000,false,1,1,1,,hydrogen_cyanide,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:vinyl_hetero,nbs514:p19:020,19,Vinyl ether,C4H6O,3.94,20,293.15,three_figures,,,,121,,C=COC=C,QYKIQEUNHZKYBP-UHFFFAOYSA-N,C4H6O,true,pubchem,Vinyl ether,0.000000,false,4,1,1,,vinyl_hetero,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:alkyne,nbs514:p19:021,19,Ethoxyacetylene,C4H6O,8.05,25,298.15,three_figures,,,,257,,C#COCC,WMYNMYVRWWCRPS-UHFFFAOYSA-N,C4H6O,true,pubchem,Ethoxyacetylene,0.000000,false,4,1,1,,alkyne,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p20:008,20,Butyronitrile,C4H7N,20.3,21,294.15,three_figures,,,,13,f=3.6x10^8 cycles/sec,CCCC#N,KVNRLNFWIYMESJ-UHFFFAOYSA-N,C4H7N,true,pubchem,Butyronitrile,0.000000,false,4,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p20:009,20,Isobutyronitrile,C4H7N,20.4,24,297.15,three_figures,,,,13,f=3.6x10^8 cycles/sec,CC(C)C#N,LRDFRRGEGBBSRN-UHFFFAOYSA-N,C4H7N,true,pubchem,Isobutyronitrile,0.000000,false,4,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p23:010,23,Valeronitrile,C5H9N,17.4,21,294.15,three_figures,,,,13,f=3.6x10^8 cycles/sec,CCCCC#N,RFFFKMOABOFIDF-UHFFFAOYSA-N,C5H9N,true,pubchem,Valeronitrile,0.000000,false,5,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p23:011,23,Isovaleronitrile,C5H9N,18.0,22,295.15,three_figures,,,,13,f=3.6x10^8 cycles/sec,CC(C)CC#N,QHDRKFYEGYYIIK-UHFFFAOYSA-N,C5H9N,true,pubchem,Isovaleronitrile,0.000000,false,5,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p27:012,27,4-Methyl-3-penten-2-one (Mesityl oxide),C6H10O,15.1,20,293.15,three_figures,,,,17,f=4x10^8 cycles/sec,CC(=O)C=C(C)C,SHOJXDKTYKFBRD-UHFFFAOYSA-N,C6H10O,true,pubchem,4-Methyl-3-penten-2-one (Mesityl oxide),0.000000,false,6,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:alkyne,nbs514:p27:013,27,Butoxyacetylene,C6H10O,6.62,25,298.15,three_figures,,,,257,,C#COCCCC,SDMLPLSHKDLKLC-UHFFFAOYSA-N,C6H10O,true,cactus,Butoxyacetylene,0.000000,false,6,1,1,,alkyne,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,frequency_dependent,nbs514:p28:005,28,Isocapronitrile,C6H11N,15.6,22,295.15,three_figures,,,,13,f=3.6x10^8 cycles/sec,CC(C)CCC#N,DUJMVKJJUANUMQ-UHFFFAOYSA-N,C6H11N,true,pubchem,Isocapronitrile,0.000000,false,6,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
,false,false,stability:aliphatic_halogen,nbs514:p13:002,13,Carbon tetrachloride,CCl4,2.238,20,293.15,four_figures,200.000,a,"-10,60","146,169,233,240a,245,292",,ClC(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,CCl4,true,pubchem,Carbon tetrachloride,0.000000,false,1,4,0,,aliphatic_halogen,10.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
