scenario,qid,size,singleton,n_ring,n_acyclic,unique_inchikeys,pair_capacity,smiles_examples
inchikey_singleton_negative_control,KGPPDNUWZNWPSI-UHFFFAOYSA-N,1,True,0,0,1,0,FC(F)(F)COCC(F)(F)F
inchikey_singleton_negative_control,KJDRSWPQXHESDQ-UHFFFAOYSA-N,1,True,0,0,1,0,ClCCCCCl
inchikey_singleton_negative_control,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1,True,0,0,1,0,C[n+]1ccn(CCO)c1.F[B-](F)(F)F
inchikey_singleton_negative_control,KNKRKFALVUDBJE-UHFFFAOYSA-N,1,True,0,0,1,0,CC(Cl)CCl
inchikey_singleton_negative_control,KVNRLNFWIYMESJ-UHFFFAOYSA-N,1,True,0,0,1,0,CCCC#N
inchikey_singleton_negative_control,KXKVLQRXCPHEJC-UHFFFAOYSA-N,1,True,0,0,1,0,COC(C)=O
inchikey_singleton_negative_control,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1,True,0,0,1,0,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
inchikey_singleton_negative_control,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1,True,0,0,1,0,COC
inchikey_singleton_negative_control,LCZUOKDVTBMCMX-UHFFFAOYSA-N,1,True,0,0,1,0,Cc1cnc(C)cn1
inchikey_singleton_negative_control,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1,True,0,0,1,0,CCO
inchikey_singleton_negative_control,LFSAPCRASZRSKS-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCCCC1=O
inchikey_singleton_negative_control,LJSQFQKUNVCTIA-UHFFFAOYSA-N,1,True,0,0,1,0,CCSCC
inchikey_singleton_negative_control,LLEVMYXEJUDBTA-UHFFFAOYSA-N,1,True,0,0,1,0,N#CCCCCCC#N
inchikey_singleton_negative_control,LRHPLDYGYMQRHN-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCO
inchikey_singleton_negative_control,LSBXQLQATZTAPE-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
inchikey_singleton_negative_control,LVTYICIALWPMFW-UHFFFAOYSA-N,1,True,0,0,1,0,CC(O)CNCC(C)O
inchikey_singleton_negative_control,LYCAIKOWRPUZTN-UHFFFAOYSA-N,1,True,0,0,1,0,OCCO
inchikey_singleton_negative_control,LZJIBRSVPKKOSI-UHFFFAOYSA-O,1,True,0,0,1,0,O=[N+]([O-])[O-].[NH3+]CCO
inchikey_singleton_negative_control,MCTWTZJPVLRJOU-UHFFFAOYSA-N,1,True,0,0,1,0,Cn1ccnc1
inchikey_singleton_negative_control,MHNNAWXXUZQSNM-UHFFFAOYSA-N,1,True,0,0,1,0,C=C(C)CC
inchikey_singleton_negative_control,MMZYCBHLNZVROM-UHFFFAOYSA-N,1,True,0,0,1,0,Cc1ccccc1F
inchikey_singleton_negative_control,MQWCXKGKQLNYQG-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCC(O)CC1
inchikey_singleton_negative_control,MSXVEPNJUHWQHW-UHFFFAOYSA-N,1,True,0,0,1,0,CCC(C)(C)O
inchikey_singleton_negative_control,MTHSVFCYNBDYFN-UHFFFAOYSA-N,1,True,0,0,1,0,OCCOCCO
inchikey_singleton_negative_control,MVPPADPHJFYWMZ-UHFFFAOYSA-N,1,True,0,0,1,0,Clc1ccccc1
inchikey_singleton_negative_control,MWKFXSUHUHTGQN-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCCCCCCO
inchikey_singleton_negative_control,NDVWOBYBJYUSMF-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCCCC1O
