arm,inchikey,name,epsilon_observed,onsager_epsilon,epsilon_pred,delta_true,delta_pred,signed_error,domain,failure_type
D1_delta_core_morgan,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",12,90.2035313888,55.1939463774,-78.2035313888,-35.0095850114,-43.1939463774,ionic_only,ionic_overprediction
D1_delta_core_morgan,RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",2.228,1.10125989107,1,1.12674010893,-0.101259891067,1.228,none,nonphysical_prediction
D1_delta_core_morgan,SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,13.7,27.3242655698,1,-13.6242655698,-26.3242655698,12.7,ionic_only,nonphysical_prediction
D1_delta_core_morgan,TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,1.961,1.1076211483,1,0.8533788517,-0.1076211483,0.961,none,nonphysical_prediction
D1_delta_core_morgan,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,2.01,1.10998539605,1,0.90001460395,-0.10998539605,1.01,none,nonphysical_prediction
D1_delta_core_morgan,VCAIYEJBOWHUGP-UHFFFAOYSA-N,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",13.3,2.20117467965,1,11.0988253203,-1.20117467965,12.3,ionic_only,nonphysical_prediction
D1_delta_core_morgan,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,4.76933191054,28.7373836302,53.5306680895,23.9680517197,29.5626163698,assoc_only,assoc_underprediction
D1_delta_core_morgan,XDJYSDBSJWNTQT-UHFFFAOYSA-N,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",12.8,44.2192801694,47.4623468021,-31.4192801694,3.24306663275,-34.6623468021,ionic_only,ionic_overprediction
D1_delta_core_morgan,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,2.02,1.10684113993,1,0.913158860075,-0.106841139925,1.02,none,nonphysical_prediction
D1_delta_core_morgan,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,40.4474006258,39.9415997155,38.4225993742,-0.505800910294,38.9284002845,assoc_only,high_epsilon_miss
D1_delta_core_morgan,YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,2.40445,1.46990395237,1,0.93454604763,-0.46990395237,1.40445,none,nonphysical_prediction
D1_delta_core_morgan,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,106.14,1.63244107371,12.5509465039,104.507558926,10.9185054302,93.5890534961,assoc_only,high_epsilon_miss
D1_delta_core_morgan,ZPTRYWVRCNOTAS-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,16.5,17.4010984828,1,-0.901098482776,-16.4010984828,15.5,ionic_only,nonphysical_prediction
D1_delta_core_morgan,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"2,5-Dimethylpyrazine",2.436,1.11662360242,1,1.31937639758,-0.116623602424,1.436,none,nonphysical_prediction
D1_delta_core_morgan,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,2.1,1.29861209178,1,0.801387908218,-0.298612091782,1.1,none,nonphysical_prediction
D1_delta_core_morgan,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,1.965,1.10560773191,1,0.859392268094,-0.105607731906,0.965,none,nonphysical_prediction
D1_delta_core_morgan,FOTXAJDDGPYIFU-UHFFFAOYSA-N,Ethylcyclopropane,1.933,1.15468220207,1,0.778317797927,-0.154682202073,0.933,none,nonphysical_prediction
D1_delta_core_morgan,OFBQJSOFQDEBGM-UHFFFAOYSA-N,n-Pentane,1.844,1.1048859414,1,0.739114058604,-0.104885941396,0.844,none,nonphysical_prediction
D1_delta_core_morgan,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-Methylbutane,1.843,1.10396118598,1,0.739038814017,-0.103961185983,0.843,none,nonphysical_prediction
D1_delta_core_morgan,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,2.284,1.12590545146,1,1.15809454854,-0.125905451456,1.284,none,nonphysical_prediction
