arm,split_id,repeat,fold,fold_seed,train_count,n_test,n_assoc,n_ionic,n_gt60,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,mae_assoc,mae_ionic,mae_none,mae_both,bias_assoc,bias_ionic,bias_gt60,spearman_gt60,delta_sign_accuracy
R0_direct_regression,35,7,0,77,187,47,20,1,2,8.7490241796,25.8968887918,0.124462089563,0.845017490452,0.950909090909,0.878571428571,3.4798181784,6.78370289394,104.178966198,14.8044478699,10.3744239807,4.02849057936,,12.273154528,10.3744239807,104.178966198,,0.851063829787
R1_direct_with_logg,35,7,0,77,187,47,20,1,2,9.80978447373,26.4857120687,0.0841948554434,0.764724599578,0.896363636364,0.85,4.02234909314,8.57741681508,108.141606483,17.1566316105,8.45348930359,4.21052879815,,8.72722047081,8.45348930359,108.141606483,,0.808510638298
D0_delta_core,35,7,0,77,187,47,20,1,2,13.8333228374,32.175801627,-0.351569937645,0.701412539998,0.864545454545,0.85,5.71414761829,18.2301838276,108.902511802,18.5806949773,114.87884047,6.29513205158,,6.17315141155,-114.87884047,108.902511802,,0.765957446809
D1_delta_core_morgan,35,7,0,77,187,47,20,1,2,12.4765520175,31.0813693439,-0.261188669146,0.747011226762,0.889090909091,0.878571428571,5.44889386686,14.3012890178,108.63209435,15.8586662089,106.703044915,6.25082983573,,8.65911799862,-106.703044915,108.63209435,,0.787234042553
D2_delta_log,35,7,0,77,187,47,20,1,2,23.4785452339,73.6822378343,-6.08770098054,0.720823335851,0.909090909091,0.775,4.94939497347,50.699797672,120.131607205,41.7355352539,90.2011368565,6.86845323312,,-14.1151974113,-90.2011368565,120.131607205,,0.723404255319
D3_delta_leaky,35,7,0,77,187,47,20,1,2,10.1473331028,27.2036911152,0.0338702801641,0.854384088704,0.958181818182,0.914285714286,3.24743408869,11.4428529484,108.027128901,16.1469027107,47.3156585929,4.10272857786,,9.62478043034,-47.3156585929,108.027128901,,0.872340425532
O0_onsager,36,7,1,78,187,47,10,3,1,11.61447812,26.2662189812,-1.30412983078,0.584759481961,0.689189189189,0.776422764228,9.17073656324,11.9591695354,104.507558926,18.4421178887,66.6210049174,4.7528317059,,16.9732653884,-66.6210049174,104.507558926,,0.510638297872
O1_structured_offset,36,7,1,78,187,47,10,3,1,9.95702664086,23.5278109904,-0.848735882352,0.757954540807,0.805405405405,0.861788617886,7.82914707449,9.55923178415,95.7288937262,14.2761263174,55.2457743131,4.69063723549,,8.19460018832,-55.2457743131,95.7288937262,,0.659574468085
R0_direct_regression,36,7,1,78,187,47,10,3,1,6.38092172558,13.1321180555,0.424054509865,0.821461609621,0.867567567568,0.99593495935,3.65622927729,11.3590923898,77.7967325592,11.7047616951,7.0517051061,4.75589967155,,7.00329353409,-5.27224712372,77.7967325592,,0.872340425532
R1_direct_with_logg,36,7,1,78,187,47,10,3,1,5.61377490466,12.4546746882,0.481944126255,0.810871781825,0.886486486486,0.971544715447,3.23738534135,8.9573906329,74.8876577759,11.0714888756,10.2242369334,3.60175944009,,5.54427272873,-10.2242369334,74.8876577759,,0.851063829787
D0_delta_core,36,7,1,78,187,47,10,3,1,8.24793570193,19.1742486056,-0.227859099971,0.765432068092,0.855405405405,0.930894308943,6.09063832025,9.1637079261,85.9721280181,13.2295301524,40.9794968022,3.89468194296,,6.69210655963,-33.0461634688,85.9721280181,,0.659574468085
D1_delta_core_morgan,36,7,1,78,187,47,10,3,1,8.35227712118,19.4160794022,-0.259026595212,0.823208226176,0.831081081081,0.90243902439,5.96284029687,9.58347603389,92.92192088,14.0946144505,41.2863936605,3.75740291792,,7.6404445914,-41.2863936605,92.92192088,,0.63829787234
D2_delta_log,36,7,1,78,187,47,10,3,1,9.58192890145,22.5343719008,-0.695909763074,0.651595744681,0.772972972973,0.817073170732,6.95953910122,10.7337828832,103.792153238,18.8313454587,40.9647043756,4.09244384276,,6.07304174277,-40.9647043756,103.792153238,,0.851063829787
D3_delta_leaky,36,7,1,78,187,47,10,3,1,5.84537490136,10.3330135585,0.643412739181,0.792321924144,0.864864864865,0.955284552846,4.21436269777,8.49560851986,50.903215512,9.41584954677,15.8172682686,3.9153623556,,3.60318392044,-13.1266519409,50.903215512,,0.914893617021
O0_onsager,37,7,2,79,187,47,14,6,1,9.13208110498,17.4041381502,-0.633818531103,0.513905753967,0.670833333333,0.670731707317,6.13064456695,19.5215327833,40.0710561236,14.1107212795,24.1311561999,4.53363689091,40.0710561236,13.8514155541,-6.23498082325,40.0710561236,,0.425531914894
