strategy,target_mode,representation,fold,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
scaffold_cluster_5fold,raw,Morgan+Physical,43,8.30467158775,16.7059284753,0.231415302289,0.728904590452,0.85336743393,0.891041162228,5.72943385294,9.69425269268,78.0097027264
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan,43,8.34512098143,17.9107230517,0.116560658772,0.638459499139,0.828058397272,0.795500403551,4.39317556002,14.042697768,85.3669512903
scaffold_cluster_5fold,log_epsilon_minus_one,Physical,43,7.12918364465,16.5638406864,0.244433685208,0.854569641132,0.907821824382,0.906779661017,3.46301803819,12.8596082448,74.8444501675
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan+Physical,43,6.93879134821,16.5381467051,0.246775949895,0.827958494537,0.906756180733,0.910613397902,3.44166447867,11.3843032169,80.1057007289
scaffold_cluster_5fold,raw,Morgan,44,8.85661484513,17.6675831756,0.140383412326,0.597751678802,0.804827365729,0.791969330105,5.90819240762,11.0497200269,83.6046803436
scaffold_cluster_5fold,raw,Physical,44,7.84807784051,16.8333017241,0.21965057635,0.789088642379,0.879795396419,0.911824051655,5.49873949726,10.5560418403,59.3402718887
scaffold_cluster_5fold,raw,Morgan+Physical,44,7.48349159291,16.2447079369,0.273267950558,0.782789702539,0.885230179028,0.903551251009,5.05779398464,9.06111671044,70.8834850273
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan,44,8.4772502298,17.9946749794,0.108259458028,0.645783715089,0.844202898551,0.800847457627,4.67899209895,13.7347027957,84.3396056111
scaffold_cluster_5fold,log_epsilon_minus_one,Physical,44,6.8472723012,16.3003166591,0.268283950729,0.83618045165,0.903985507246,0.907183212268,3.57629778855,11.4759888503,71.3288478884
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan+Physical,44,6.81833622258,16.4896759648,0.251184645305,0.816493953607,0.911125319693,0.913438256659,3.50744541136,10.8193194496,77.8342267497
scaffold_cluster_5fold,raw,Morgan,45,8.84300230622,17.6768807533,0.139478426637,0.567802397304,0.796675191816,0.75585149314,5.7615328531,11.6846565104,82.3475417099
scaffold_cluster_5fold,raw,Physical,45,8.0042833013,16.4679087475,0.253160289751,0.743387149909,0.842178175618,0.903046811945,5.75847973386,9.52577969615,66.1911063156
scaffold_cluster_5fold,raw,Morgan+Physical,45,7.61453159622,16.1704811685,0.279894075342,0.76422099466,0.86386402387,0.897901533495,4.98648458834,9.56589981438,74.2693240128
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan,45,7.99300620841,17.717050564,0.135563000039,0.67952609179,0.861732736573,0.805488297014,3.92199100912,14.1708601735,84.7431131995
scaffold_cluster_5fold,log_epsilon_minus_one,Physical,45,6.27536540621,16.1621078809,0.280639642877,0.887305962922,0.933290707587,0.91313559322,2.86735611025,10.5438597585,78.1131065997
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan+Physical,45,6.65622749656,16.4931377224,0.250870207431,0.867313572143,0.937020460358,0.912530266344,2.96812365052,11.6291083456,81.4281098996
scaffold_cluster_5fold,raw,Morgan,46,9.5251947911,17.9652976228,0.111168718224,0.499619010518,0.760869565217,0.76099677159,6.78232916705,11.347927512,80.8887936554
scaffold_cluster_5fold,raw,Physical,46,7.39382930162,15.5832968941,0.331241695431,0.80535604163,0.889812446718,0.915052461663,5.05991019114,9.23726828094,65.6607857666
scaffold_cluster_5fold,raw,Morgan+Physical,46,7.53963439049,15.9212524707,0.301920384242,0.772326025605,0.883578431373,0.912328490718,5.14991143006,8.70393084635,73.274789711
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan,46,8.91356557513,17.8082074093,0.126644803773,0.552422070319,0.792146206309,0.782082324455,5.21809929011,14.1600463561,81.6198616214
scaffold_cluster_5fold,log_epsilon_minus_one,Physical,46,6.7443416825,16.2908573993,0.26913295067,0.848839278481,0.908621057118,0.886803874092,3.62152774186,10.1901675329,76.480325063
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan+Physical,46,6.96578999051,16.4119122528,0.258230672968,0.809111299869,0.902173913043,0.898506860371,3.61559004023,10.9874584521,79.0500933422
