scenario,arm,split_id,repeat,fold,train_rows,test_rows,train_qids,test_qids,train_pair_capacity,test_pair_capacity,n_comparable_pairs,global_spearman,macro_query_spearman,micro_pairwise_accuracy,macro_pairwise_accuracy,auc_gt15,auc_gt30,calibrated_mae,calibrated_rmse,calibrated_r2
scaffold_butina_qid,regression_head,29,5,4,195,39,89,22,758,41,40,0.799169638618,0.607511334917,0.6125,0.752380952381,0.893048128342,0.937931034483,8.41682855118,13.3514307127,0.490216690672
scaffold_butina_qid,rank_pairwise,30,6,0,202,32,88,23,779,20,19,0.794500471645,0.849661276315,0.894736842105,0.89880952381,0.877272727273,0.885057471264,10.1731829668,21.6175103448,0.0295053310301
scaffold_butina_qid,regression_head,30,6,0,202,32,88,23,779,20,19,0.92244935762,0.363970588235,0.868421052632,0.657738095238,0.936363636364,0.977011494253,6.90165994206,16.7254359484,0.419052755552
scaffold_butina_qid,rank_pairwise,31,6,1,170,64,89,22,304,495,494,0.52544701115,0.20382541603,0.642712550607,0.580160440613,0.82183908046,0.825136612022,6.97219050725,9.35648676044,-0.020806141399
scaffold_butina_qid,regression_head,31,6,1,170,64,89,22,304,495,494,0.434692516637,0.227242624772,0.630566801619,0.613001163109,0.951149425287,0.994535519126,7.05465231494,9.05174423642,0.0446066639623
scaffold_butina_qid,rank_pairwise,32,6,2,190,44,89,22,748,51,51,0.83900067003,0.587301587302,0.78431372549,0.749206349206,0.921487603306,0.857142857143,6.32950989761,7.98588372374,0.588948217965
scaffold_butina_qid,regression_head,32,6,2,190,44,89,22,748,51,51,0.832094154645,0.803968253968,0.803921568627,0.871957671958,0.913223140496,0.903474903475,6.00323479533,7.95761276793,0.591853408581
scaffold_butina_qid,rank_pairwise,33,6,3,169,65,89,22,576,223,222,0.647748505781,0.630266200259,0.682432432432,0.77639027639,0.838744588745,0.84236453202,9.51846355862,23.2859062736,0.092869372838
scaffold_butina_qid,regression_head,33,6,3,169,65,89,22,576,223,222,0.768460849415,0.746405321386,0.734234234234,0.84662004662,0.829004329004,0.935960591133,7.82301690441,22.3486116633,0.164426537978
scaffold_butina_qid,rank_pairwise,34,6,4,205,29,89,22,789,10,10,0.782362365831,0,0.5,0.5,0.923076923077,0.857894736842,8.75743950555,11.136584085,0.51909794657
scaffold_butina_qid,regression_head,34,6,4,205,29,89,22,789,10,10,0.857741107627,0.56,0.8,0.766666666667,1,0.878947368421,5.23243179507,7.5346407839,0.779870759791
scaffold_butina_qid,rank_pairwise,35,7,0,188,46,88,23,679,120,120,0.6311634651,0.835714285714,0.683333333333,0.896598639456,0.838888888889,0.965909090909,5.24084276996,6.61542103004,0.427476752938
scaffold_butina_qid,regression_head,35,7,0,188,46,88,23,679,120,120,0.709201924263,0.964138947957,0.8625,0.96462585034,0.891666666667,1,4.64672277823,6.874224181,0.381804941832
scaffold_butina_qid,rank_pairwise,36,7,1,186,48,89,22,683,116,115,0.706201657925,0.0828168043157,0.652173913043,0.529042386185,0.874074074074,0.84668989547,10.2147700682,24.0050862915,0.108654875505
scaffold_butina_qid,regression_head,36,7,1,186,48,89,22,683,116,115,0.768191073248,0.282381046637,0.582608695652,0.627681841968,0.875925925926,0.871080139373,8.00694571204,25.1697003578,0.0200691255963
scaffold_butina_qid,rank_pairwise,37,7,2,182,52,89,22,721,78,77,0.796969050886,0.381695009569,0.727272727273,0.669696969697,0.907834101382,0.8125,8.69745016622,14.6892732006,0.22546542912
scaffold_butina_qid,regression_head,37,7,2,182,52,89,22,721,78,77,0.865653482662,0.750152788388,0.720779220779,0.84696969697,0.913978494624,0.931818181818,6.74246259877,12.184035384,0.467128499229
scaffold_butina_qid,rank_pairwise,38,7,3,208,26,89,22,794,5,5,0.762735042735,0.333333333333,0.8,0.666666666667,0.85,0.913043478261,7.86785532292,11.4625633838,0.349987618342
scaffold_butina_qid,regression_head,38,7,3,208,26,89,22,794,5,5,0.811965811966,0.333333333333,0.8,0.666666666667,0.816666666667,0.884057971014,5.7867210499,9.00386094038,0.598934147553
scaffold_butina_qid,rank_pairwise,39,7,4,172,62,89,22,319,480,479,0.685368924704,0.391772534785,0.616910229645,0.659328817734,0.885714285714,0.788461538462,9.55075916964,16.8770696163,0.159304123223
scaffold_butina_qid,regression_head,39,7,4,172,62,89,22,319,480,479,0.808564811166,0.476088922557,0.694154488518,0.67025862069,0.87619047619,0.884615384615,7.8041414882,15.08230295,0.328601829157
scaffold_butina_qid,rank_pairwise,40,8,0,203,31,88,23,785,14,14,0.80564516129,0.94,0.857142857143,0.96,0.946666666667,0.907407407407,7.01845765805,9.00138790232,0.44362587321
scaffold_butina_qid,regression_head,40,8,0,203,31,88,23,785,14,14,0.720032264976,1,0.964285714286,0.9,0.94,0.981481481481,9.34038165773,18.6632961857,-1.39179893152
scaffold_butina_qid,rank_pairwise,41,8,1,199,35,89,22,773,26,26,0.742016806723,0.75,0.769230769231,0.9,0.885620915033,0.87037037037,14.031511836,30.5709622702,0.0937112517459
scaffold_butina_qid,regression_head,41,8,1,199,35,89,22,773,26,26,0.720168067227,0.8,0.807692307692,0.877777777778,0.859477124183,0.916666666667,12.8570687693,31.2047464529,0.055744145032
scaffold_butina_qid,rank_pairwise,42,8,2,208,26,89,22,794,5,5,0.890598290598,-0.5,0.4,0.222222222222,0.952662721893,0.933333333333,7.95347602909,10.6556460071,0.596997351846
scaffold_butina_qid,regression_head,42,8,2,208,26,89,22,794,5,5,0.93094017094,1,1,1,0.976331360947,0.983333333333,5.51754870328,7.2362588456,0.814144029004
scaffold_butina_qid,rank_pairwise,43,8,3,151,83,89,22,203,596,595,0.727111484361,0.641972477332,0.672268907563,0.805746336996,0.876518218623,0.839339339339,8.56616080967,13.9109786952,0.212195126827
scaffold_butina_qid,regression_head,43,8,3,151,83,89,22,203,596,595,0.592545169272,0.458904704824,0.596638655462,0.713091685613,0.775303643725,0.839339339339,9.01264625391,14.6569903411,0.125433384339
