inchikey,smiles,name,has_dielectric,dielectric,dielectric_T_K,has_viscosity,viscosity_Pa_s,viscosity_T_K,has_orbitals,HOMO_eV,LUMO_eV,gap_eV,IP_eV,EA_eV,dipole_au,dipole_D,has_redox_label,oxidation_free_energy_eV,reduction_free_energy_eV,has_density,density_kg_m3,density_T_K,has_liquid_window,mp_C,bp_C,flash_point_C,ambient_density_g_cm3,n_core_channels,channels_present
ZWPGENJBBBXBJF-UHFFFAOYSA-N,C#Cc1cocnc1=O,CompMol5606,false,,,false,,,true,-9.66069984436,0.585900008678,10.246599853,7.30039548874,1.74722313881,2.68264719742,6.81860905235,false,,,false,,,false,,,,,1,orbitals
ZWPUOFSQNASCII-UHFFFAOYSA-N,CCCCOCCOCC,CompMol25826,false,,,false,,,true,-9.65340042114,1.7826000452,11.4360004663,7.24125576019,0.859519779682,0.0661098086481,0.168034372962,false,,,false,,,false,,,,,1,orbitals
ZWQKJYFFPXLALB-UHFFFAOYSA-N,CS(=O)(=O)OC#N,CompMol7187,false,,,false,,,true,-11.8794002533,1.13639998436,13.0158002377,9.57712650299,1.02687489986,3.29888068866,8.38491835525,false,,,false,,,false,,,,,1,orbitals
ZWRDBWDXRLPESY-UHFFFAOYSA-N,CCN(CC)Cc1ccccc1,CompMol414,false,,,false,,,true,-8.63809967041,1.73249995708,10.3705996275,5.9752831459,0.578019142151,0.5466668944,1.38948865075,false,,,false,,,false,,,,,1,orbitals
ZWRHFGVKNIVIIL-UHFFFAOYSA-N,COC(C)CCOC(C)C,CompMol25707,false,,,false,,,true,-9.57129955292,1.74380004406,11.315099597,7.12704944611,0.0196119006723,0.0825950331683,0.209935634243,false,,,false,,,false,,,,,1,orbitals
ZWRJENLSGKLJMK-UHFFFAOYSA-N,CC(=O)C=CCN(C)C,CompMol16389,false,,,false,,,true,-8.78050041199,0.968900024891,9.74940043688,6.07701015472,1.38896429539,2.4224451919,6.15724152255,false,,,false,,,false,,,,,1,orbitals
ZWRLQFKXTNQSFW-UHFFFAOYSA-N,CCCCC(COC)OC,CompMol26627,false,,,false,,,true,-9.46730041504,1.72189998627,11.1892004013,7.13910245895,0.0598323978484,0.795126154732,2.02100909938,false,,,false,,,false,,,,,1,orbitals
ZWRUINPWMLAQRD-UHFFFAOYSA-N,CCCCCCCCCO,nonan-1-ol,false,,,true,0.009494,298.15,false,,,,,,,,false,,,true,824,298.15,false,,,,,1,viscosity|density
ZWSHPUMUYVOIDL-UHFFFAOYSA-N,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",false,,,false,,,false,,,,,,,,false,,,true,1639,297,false,,,,,0,density
ZWSOCUXIDWGRLE-UHFFFAOYSA-N,CCOC(=O)C(C)(F)CCl,CompMol27336,false,,,false,,,true,-10.6044998169,1.43710005283,12.0415998697,8.38569068909,0.477671205997,1.37399842767,3.49235565744,false,,,false,,,false,,,,,1,orbitals
ZWSPJYIHAKIKFX-UHFFFAOYSA-N,O=C(CF)C(F)(F)C(F)(F)F,CompMol28670,false,,,false,,,true,-10.9500999451,0.361200004816,11.3112999499,8.69149017334,1.92034745216,1.04640365816,2.65969280746,false,,,false,,,false,,,,,1,orbitals
ZWTFIHCEYGHSOQ-UHFFFAOYSA-N,N#CC1(C#N)CC(=O)O1,CompMol2541,false,,,false,,,true,-11.5263996124,0.729300022125,12.2556996345,9.23923397064,1.47809016705,1.62121219979,4.1207103908,false,,,false,,,false,,,,,1,orbitals
ZWTPNQIKYGASCO-UHFFFAOYSA-N,FC(F)COCCOCC(F)(F)F,CompMol105,false,,,false,,,true,-10.1623001099,1.63960003853,11.8019001484,7.777967453,0.152512162924,1.01009237115,2.56739872177,false,,,false,,,false,,,,,1,orbitals
ZWTTYVQTFNGJQS-UHFFFAOYSA-N,CCOC(=O)CC(F)(F)CCl,CompMol29205,false,,,false,,,true,-10.774600029,1.40799999237,12.1826000214,8.5108833313,0.516226887703,1.21241414741,3.08164938299,false,,,false,,,false,,,,,1,orbitals
ZWTVSTQJPQMTQO-UHFFFAOYSA-N,Cc1cnnc(C)c1Cl,CompMol21514,false,,,false,,,true,-9.69729995728,0.610400021076,10.3076999784,7.00943851471,1.73877799511,1.96743822742,5.00072917539,false,,,false,,,false,,,,,1,orbitals
ZWTWEYKQGZBKQI-UHFFFAOYSA-N,FCC(F)(F)C1CCCO1,CompMol25917,false,,,false,,,true,-9.96570014954,1.63689994812,11.6026000977,7.51626491547,0.0255203153938,2.01156756414,5.11289476135,false,,,false,,,false,,,,,1,orbitals
ZWUFOIRQLMCHQC-UHFFFAOYSA-N,CP1OCO1,CompMol5848,false,,,false,,,true,-8.74510002136,1.39750003815,10.1426000595,6.29726600647,0.949033737183,0.871085468733,2.21407841783,false,,,false,,,false,,,,,1,orbitals
ZWUSTEJPALZEAK-UHFFFAOYSA-N,COC(=O)CC=NN(C)C,CompMol25815,false,,,false,,,true,-8.47780036926,1.59189999104,10.0697003603,5.81274652481,0.150808483362,0.639943072949,1.62657304859,false,,,false,,,false,,,,,1,orbitals
ZWUWDFWEMWMTHX-UHFFFAOYSA-N,CCC(COC(C)=O)OC,CompMol23055,false,,,false,,,true,-9.72399997711,1.60959994793,11.333599925,7.3322687149,0.132237270474,0.696945397794,1.77145850672,false,,,false,,,false,,,,,1,orbitals
ZWVIGXAESYYHMY-OWOJBTEDSA-N,O=C(O)O/C=C/OC(=O)O,14ecbf9adffeab91c43accfd325fddc4-C4H4O6-0-1,false,,,false,,,true,,,,7.20601684779,0.34009635515,,,true,6.55383603109,-1.23551718775,false,,,false,,,,,2,orbitals|redox_label
ZWVIKSRPACJZKA-UHFFFAOYSA-N,CC1=COC(F)=CC1,CompMol1399,false,,,false,,,true,-8.45820045471,1.5868999958,10.0451004505,6.06991577148,0.150094076991,1.40433298574,3.56945841342,false,,,false,,,false,,,,,1,orbitals
ZWVUPSHHVBUWIU-UHFFFAOYSA-N,CCCCC(=O)CCCOC,CompMol29074,false,,,false,,,true,-9.40040016174,1.68229997158,11.0827001333,7.03378677368,0.389966487885,0.923253899251,2.3466773421,false,,,false,,,false,,,,,1,orbitals
ZWVWZUHELWJLMG-UHFFFAOYSA-N,COCOCOCOCOC,"2,4,6,8,10-pentaoxaundecane",false,,,true,0.0018479,298.15,true,-9.83609962463,1.57720005512,11.4132996798,7.50954341888,0.165217399597,0.815563390134,2.07295537038,false,,,true,1067.8,298.15,false,,,,,2,viscosity|orbitals|density
ZWWQRMFIZFPUAA-UHFFFAOYSA-N,C=C(CC(=O)OC)C(=O)OC,CompMol916,false,,,false,,,true,-10.2643995285,0.970799982548,11.235199511,7.77102708817,1.36914074421,0.73325728463,1.86375411701,false,,,false,,,false,,,,,1,orbitals
ZWWWLCMDTZFSOO-UHFFFAOYSA-N,CCOP(=O)(C#N)OCC,CompMol26324,false,,,false,,,true,-11.4329004288,1.38629996777,12.8192003966,9.23674488068,0.947707116604,2.35428263976,5.98398959606,false,,,false,,,false,,,,,1,orbitals
ZWXPDGCFMMFNRW-UHFFFAOYSA-N,CN1CCCCCC1=O,CompMol31014,false,,,false,,,true,-9.00380039215,1.70940005779,10.7132004499,6.50165510178,0.059030752629,2.15526034831,5.47812538871,false,,,false,,,false,,,,,1,orbitals
ZWXPMBURMQVZPH-UHFFFAOYSA-N,O=S(=O)(Cl)C1CCCS1(=O)=O,CompMol28124,false,,,false,,,true,-10.9104003906,0.55940002203,11.4698004126,8.76820850372,1.54811048508,2.46168897619,6.25698927285,false,,,false,,,false,,,,,1,orbitals
ZWXQDUSAHXVQCG-UHFFFAOYSA-N,CCCCC(=O)C(C)Cl,CompMol19371,false,,,false,,,true,-9.77250003815,1.20969998837,10.9822000265,7.4462890625,0.961978912354,1.19018675359,3.02515298315,false,,,false,,,false,,,,,1,orbitals
ZWYMPXSGJCOFNS-UHFFFAOYSA-N,COCC(C)(C#N)C#N,CompMol4698,false,,,false,,,true,-10.3299999237,1.50549995899,11.8354998827,7.82521390915,0.2352553159,2.45635449813,6.24343038206,false,,,false,,,false,,,,,1,orbitals
ZWYXVDNMOQUZNR-UHFFFAOYSA-N,CP(C)S(C)(=O)=O,CompMol6755,false,,,false,,,true,-9.03989982605,1.45130002499,10.491199851,6.54678153992,0.221997857094,1.9597824937,4.98127024121,false,,,false,,,false,,,,,1,orbitals
ZWYZHNNHSZXTTG-UHFFFAOYSA-N,CCCCCC1CCOC1=O,CompMol28018,false,,,false,,,true,-10.0703001022,1.65439999104,11.7247000932,7.82965135574,0.134091451764,2.299516289,5.84478741717,false,,,false,,,false,,,,,1,orbitals
ZWZHDIXHMRRIPV-UHFFFAOYSA-N,CN(C)C(=O)C(F)(F)C=O,CompMol23759,false,,,false,,,true,-9.71990013123,0.930400013924,10.6503001452,7.23099279404,1.3555880785,2.31836684662,5.89270075552,false,,,false,,,false,,,,,1,orbitals
ZXBFEYNKHADESZ-UHFFFAOYSA-N,CN(C=O)N1C=CCO1,CompMol20779,false,,,false,,,true,-8.88819980621,1.59070003033,10.4788998365,6.43934774399,0.884904325008,2.52267906665,6.41201062017,false,,,false,,,false,,,,,1,orbitals
ZXCMRHSVTJLIOI-UHFFFAOYSA-N,N#CCn1ccoc1=O,CompMol4417,false,,,false,,,true,-8.90659999847,1.46780002117,10.3744000196,6.51959180832,0.201600715518,2.69882170675,6.85972055439,false,,,false,,,false,,,,,1,orbitals
ZXDALXOGBYDGKZ-UHFFFAOYSA-N,CN(C)N(C)C(C)(C)C,CompMol17419,false,,,false,,,true,-8.25660037994,1.63800001144,9.89460039138,5.65905618668,-0.26117041707,0.609035071019,1.5480127437,false,,,false,,,false,,,,,1,orbitals
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,2-methyl-1-propanol,true,17.96,298.15,true,0.003334,298.15,false,,,,,,,,false,,,true,797.54,298.15,true,-108,108,27.7778,0.8018,2,dielectric|viscosity|density|liquid_window
ZXEWNAJCQVCRRB-UHFFFAOYSA-N,C=CC(OC)C(F)C(=O)OC,CompMol29159,false,,,false,,,true,-10.0872001648,1.5584000349,11.6456001997,7.63420343399,0.178594097495,0.820481756869,2.08545661168,false,,,false,,,false,,,,,1,orbitals
ZXFJMVGGNFLDGI-UHFFFAOYSA-N,CC(=O)C1OS1(=O)=O,CompMol12781,false,,,false,,,true,-10.5078001022,0.582400023937,11.0902001261,8.14078235626,1.56938767433,1.21268183743,3.08232978316,false,,,false,,,false,,,,,1,orbitals
ZXFQKTBZIQYUEC-UHFFFAOYSA-N,CCC(=S)OCC(=O)Cl,CompMol21504,false,,,false,,,true,-9.22609996796,0.555899977684,9.78199994564,6.83549642563,1.75955188274,0.518428312737,1.3177133354,false,,,false,,,false,,,,,1,orbitals
ZXGWRLFOLUOPGV-UHFFFAOYSA-N,CCCCc1ccno1,CompMol3788,false,,,false,,,true,-9.61159992218,1.72809994221,11.3396998644,7.09604358673,0.496130555868,1.76063530684,4.4750885814,false,,,false,,,false,,,,,1,orbitals
ZXGZUSVWBJGJSH-UHFFFAOYSA-N,CCC(=O)CCN(C)C,CompMol15407,false,,,false,,,true,-8.6001996994,1.68149995804,10.2816996574,5.94097232819,0.111278086901,1.6862322634,4.28597490816,false,,,false,,,false,,,,,1,orbitals
ZXHQLEQLZPJIFG-UHFFFAOYSA-N,CCCCCCOCC,CompMol5450,false,,,false,,,true,-9.6843996048,1.82710003853,11.5114996433,7.15871238708,-0.0655150488019,0.633507168308,1.61021461067,false,,,true,767.15,298.15,false,,,,,1,orbitals|density
ZXICCRKHHUXJCA-UHFFFAOYSA-N,CC(=O)CN1C(=O)CC1=O,CompMol26937,false,,,false,,,true,-9.90089988708,1.41069996357,11.3115998506,7.56674957275,0.0212104041129,1.59330561867,4.04977893667,false,,,false,,,false,,,,,1,orbitals
ZXIRJGYIUYZCGZ-UHFFFAOYSA-N,C=C(C)N(C)CCC#N,CompMol21707,false,,,false,,,true,-7.78310012817,1.60769999027,9.39080011844,5.15984916687,-0.0448526889086,2.45464450765,6.23908401979,false,,,false,,,false,,,,,1,orbitals
ZXJRMFFNHIPGKG-UHFFFAOYSA-N,O=C(F)C(F)(F)COF,CompMol13793,false,,,false,,,true,-11.7285003662,0.500400006771,12.228900373,9.44391155243,1.61183512211,0.945957055986,2.40438301066,false,,,false,,,false,,,,,1,orbitals
ZXJTXGVVOYHABT-UHFFFAOYSA-N,O=C1OOC2C(=O)CCC12,CompMol26692,false,,,false,,,true,-9.65909957886,0.955900013447,10.6149995923,7.41098928452,1.2489759922,2.44241506844,6.20799988581,false,,,false,,,false,,,,,1,orbitals
