variant,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
Physical_xtb_log,5,6.309965643989749,15.880019368227892,0.305531496591922,0.888448881356279,0.9272165387894289,0.915859564164649,2.915233273747601,11.065564411435808,73.63647889709473
Physical_xtb_log,6,6.279316544602557,16.405975887452744,0.2587671878243857,0.8953299674989743,0.9332374254049446,0.9063761097659403,2.639569832838034,11.33104865864345,78.86076287841797
Physical_xtb_log,7,6.235268307011301,16.149264089877683,0.28178251892115114,0.9026511230861795,0.9365942028985508,0.9249394673123487,2.767850253624252,10.825663184393019,77.24636182403565
Physical_xtb_log,8,6.081109436081677,15.72084086586673,0.31938417708691924,0.9034263128578203,0.9437340153452686,0.9315980629539952,2.7521019192104097,10.65472558993385,72.85937127685547
Physical_xtb_log,9,6.499083887851994,16.583971611200695,0.24259600856645747,0.9048742557044571,0.9406436487638533,0.9130347054075867,2.8786267128690883,11.717995169685,77.06667584991456
Physical_density_log,0,6.536233758554227,16.527345578603736,0.2477594955956488,0.8963817547833437,0.928921568627451,0.9045601291364004,2.805734740257263,12.410878248487201,75.07298902130125
Physical_density_log,1,6.414950260613604,16.596787172952805,0.24142496120705725,0.8991919799209455,0.9335038363171355,0.9198950766747378,2.7324750981693025,11.659002147129604,78.73112954711914
Physical_density_log,2,6.220214637928475,15.909863168861008,0.30291877249066357,0.889155915984537,0.9296675191815857,0.9142453591606134,2.840048394173006,10.660233516965592,75.73730935668945
Physical_density_log,3,6.169189773038539,15.883418370435686,0.3052341729494906,0.8923831505660232,0.9218883205456095,0.9255447941888619,2.8469684270062023,10.685127448309037,73.21750783538819
Physical_density_log,4,6.11226937254929,15.69032014294923,0.3220243313501029,0.9072425805123275,0.9437340153452686,0.9271589991928976,2.682271946037872,10.958639898027693,73.79067563629151
Physical_density_log,5,6.1652609057245025,15.764633504949586,0.3155869912089948,0.8960843494531232,0.9329710144927537,0.9178773204196932,2.8907063299830957,10.754532908666702,71.09130067443849
Physical_density_log,6,6.243409735623801,16.464357718863813,0.2534823419708836,0.8998213894596717,0.9364343563512362,0.9007263922518159,2.6327088493335093,11.195049110321772,78.74778699493409
Physical_density_log,7,6.2508082544792,16.214965046126217,0.27592670246204176,0.8963307805891427,0.9324381926683716,0.9106133979015335,2.7164040880746474,11.248138616834368,75.9604048690796
Physical_density_log,8,6.116928671911285,15.814692902693277,0.3112334868789952,0.8971863775459058,0.9405370843989769,0.9152542372881356,2.8091437438952775,11.018514498937698,69.46961145019532
Physical_density_log,9,6.34071984055961,16.37921790855157,0.26118310232377717,0.9068290752146907,0.9396845694799659,0.9198950766747378,2.7615218643997284,11.499466516585578,76.10990380859376
