row_id,source,inchikey,smiles,name,IP,EA,HOMO,LUMO,dipole,oxidation_free_energy,reduction_free_energy,source_doi,method,status
rx392:956a458d86d5a327087383cc45d2429c-C2F3H4O1P1-0-1,RX-392,CGELEAYJQUNLQU-UHFFFAOYSA-N,FCCOP(F)F,956a458d86d5a327087383cc45d2429c-C2F3H4O1P1-0-1,8.322523194648966,0.3375505269614223,,,,7.492361504908331,-1.278810088409955,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:b0626fbc4250f17418f086afc0c04c88-C6F2H6O5-0-1,RX-392,AALOWOLJVRWAFV-CRCLSJGQSA-N,O=C([O-])O[C@@H](F)C[C@H](F)COC#[O+],b0626fbc4250f17418f086afc0c04c88-C6F2H6O5-0-1,6.942731278344581,2.552986844413681,,,,6.261883323513757,-4.936330505544902,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:6afc8b87d2decd8d32bf667ccaab0be2-C6F2H6O5-0-1,RX-392,PZLYQHDXYOUJPM-CRCLSJGQSA-N,O=C([O-])OC[C@@H](F)[C@@H](F)COC#[O+],6afc8b87d2decd8d32bf667ccaab0be2-C6F2H6O5-0-1,6.5769754630237,2.6201340352236,,,,6.010804038567585,-4.7792030138625705,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:db3b5309b96fef654ff39e1c4277f277-C3F1O2P1-0-1,RX-392,HQUVGDUEDWRYHT-UHFFFAOYSA-N,[C-]#C[O+]=C=[O+][P-]F,db3b5309b96fef654ff39e1c4277f277-C3F1O2P1-0-1,8.719564027545857,4.817116675447323,,,,6.665716041123233,-5.450739181771496,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:a3aec91fc4c5258bc56344e921ff3e93-C4F3H6O2P1-0-1,RX-392,ACGHTOCXFLNEEM-UHFFFAOYSA-N,FCCOC[C-]=[O+]P(F)F,a3aec91fc4c5258bc56344e921ff3e93-C4F3H6O2P1-0-1,6.837526746036019,2.2447948028711835,,,,5.910323864241946,-2.3410184973763535,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:fc731b7e2ac2b605df35e96e8b399b60-C4F3H6O2P1-0-1,RX-392,UUJWMQSOBATTKK-ONEGZZNKSA-N,FCCO/C=C/OP(F)F,fc731b7e2ac2b605df35e96e8b399b60-C4F3H6O2P1-0-1,6.720215144629037,0.5953699320634769,,,,5.880676522385329,-1.6545875918891397,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:59b4374c1833abf195a8a9803de080d5-C4F3H6O2P1-0-1,RX-392,WIHCAQOCPVHARP-UHFFFAOYSA-N,FC[C-]=[O+]CCOP(F)F,59b4374c1833abf195a8a9803de080d5-C4F3H6O2P1-0-1,6.608157264599868,1.8446660126865027,,,,5.983686697054509,-1.5479230760247447,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:2b5a6c235e3f51a6f43ac533253cd165-C4F3H6O2P1-0-1,RX-392,FXARLLGYJYAVPA-UHFFFAOYSA-N,C=[C-]OCCO[P+](F)(F)F,2b5a6c235e3f51a6f43ac533253cd165-C4F3H6O2P1-0-1,6.1237212414780515,2.8428505820447754,,,,5.076926143101446,-4.167470132928429,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:63bc2536bdd693b139805f016e5af60a-C4F3H6O2P1-0-1,RX-392,FQSHJLBUFQCHJC-UHFFFAOYSA-N,FCC[O+]=[C-]COP(F)F,63bc2536bdd693b139805f016e5af60a-C4F3H6O2P1-0-1,6.495241602497117,1.8655449320867774,,,,5.778746743009833,-1.5177320642651466,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:0a9c070d174be308780714f4382ea3f3-C4F3H6O2P1-0-1,RX-392,LYULEUMSLMECSM-UHFFFAOYSA-N,FP(F)OCCOC[C-]=[F+],0a9c070d174be308780714f4382ea3f3-C4F3H6O2P1-0-1,7.121111195752746,2.612086036679102,,,,6.5088838670781115,-1.4839221198417363,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
