record_id,name,smiles,inchikey,T_K,inverse_temperature_1_K,viscosity_cP,viscosity_Pa_s,log10_viscosity_cP,md_density_g_cm3,reference,source_doi,source_url,data_status,gate_flags
263,isoprene,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,302.09,0.003310272,0.1996,0.0001996,-0.699839463,0.679716142,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
264,isoprene,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,303.0,0.00330033,0.2,0.0002,-0.698970004,0.681743068,"Diego Alonso Saldana, Laurie Starck, Pascal Mougin, Bernard Rousseau, Nicolas Ferrando, and Benoit Creton. Prediction of density and viscosity of biofuel compounds using machine learning methods. Energy & fuels, 26(4):2416-2426, 2012.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
265,isoprene,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,303.08,0.003299459,0.1985,0.0001985,-0.702239489,0.678659498,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
266,isoprene,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,303.1,0.003299241,0.2,0.0002,-0.698970004,0.679930925,"Diego Alonso Saldana, Laurie Starck, Pascal Mougin, Bernard Rousseau, Nicolas Ferrando, and Benoit Creton. Prediction of density and viscosity of biofuel compounds using machine learning methods. Energy & fuels, 26(4):2416-2426, 2012.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
267,isoprene,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,305.1,0.003277614,0.19,0.00019,-0.721246399,0.677187445,"Diego Alonso Saldana, Laurie Starck, Pascal Mougin, Bernard Rousseau, Nicolas Ferrando, and Benoit Creton. Prediction of density and viscosity of biofuel compounds using machine learning methods. Energy & fuels, 26(4):2416-2426, 2012.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
268,isoprene,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,305.17,0.003276862,0.1944,0.0001944,-0.711303739,0.672625451,"WE Wasburn. International critical tables of numerical data, physics, chemistry and technology. 1st electronic edition. Knovel: Norwich, NY, 2003.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
269,acrylic acid,C=CC(=O)O,NIXOWILDQLNWCW-UHFFFAOYSA-N,298.15,0.003354016,1.2,0.0012,0.079181246,1.119899278,"Valentin Goussard, Francois Duprat, Jean-Luc Ploix, G erard Dreyfus, Veronique Nardello-Rataj, and Jean-Marie Aubry. A new machine-learning tool for fast estimation of liquid viscosity. application to cosmetic oils. Journal of Chemical Information and Modeling, 60(4):2012-2023, 2020.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
270,methyl acrylate,C=CC(=O)OC,BAPJBEWLBFYGME-UHFFFAOYSA-N,273.0,0.003663004,0.63,0.00063,-0.200659451,1.022848759,"Diego Alonso Saldana, Laurie Starck, Pascal Mougin, Bernard Rousseau, Nicolas Ferrando, and Benoit Creton. Prediction of density and viscosity of biofuel compounds using machine learning methods. Energy & fuels, 26(4):2416-2426, 2012.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
271,Methyl acrylate,C=CC(=O)OC,BAPJBEWLBFYGME-UHFFFAOYSA-N,288.7055556,0.003463737,0.517,0.000517,-0.286509457,1.011555648,"Sunghwan Kim, Paul A Thiessen, Tiejun Cheng, Jian Zhang, Asta Gindulyte, and Evan E Bolton. Pug-view: programmatic access to chemical annotations integrated in pubchem. Journal of cheminformatics, 11(1):1-11, 2019.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
272,methyl acrylate,C=CC(=O)OC,BAPJBEWLBFYGME-UHFFFAOYSA-N,298.15,0.003354016,0.45,0.00045,-0.346787486,0.994429656,"Valentin Goussard, Francois Duprat, Jean-Luc Ploix, G erard Dreyfus, Veronique Nardello-Rataj, and Jean-Marie Aubry. A new machine-learning tool for fast estimation of liquid viscosity. application to cosmetic oils. Journal of Chemical Information and Modeling, 60(4):2012-2023, 2020.",10.1186/s13321-024-00820-5,https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13321-024-00820-5/MediaObjects/13321_2024_820_MOESM2_ESM.csv,experimental,experimental
