inchikey,in_target_key_set,in_publishable_pure_subset,n_epsilon_observations,n_viscosity_observations,has_epsilon_and_viscosity,in_walden_pair_set,n_walden_pairs,key_carries_admissible_dn,admissible_dn_value,admissible_dn_source_id,admissible_dn_source_doi,key_carries_predicted_dn,predicted_dn_value,predicted_dn_source_id,dn_channel_status
DMBHHRLKUKUOEG-UHFFFAOYSA-N,true,true,0,4,false,false,0,false,,,,false,,,no_dn
DMEGYFMYUHOHGS-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DNIAPMSPPWPWGF-UHFFFAOYSA-N,true,true,6,67,true,true,10,false,,,,false,,,no_dn
DOIRQSBPFJWKBE-UHFFFAOYSA-N,true,true,0,13,false,false,0,false,,,,false,,,no_dn
DPUYDFJBHDYVQM-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DQWPFSLDHJDLRL-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DSNHSQKRULAAEI-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DSNYFFJTZPIKFZ-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DTFKRVXLBCAIOZ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DTQVDTLACAAQTR-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DUJMVKJJUANUMQ-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DULCUDSUACXJJC-UHFFFAOYSA-N,true,true,0,10,false,false,0,false,,,,false,,,no_dn
DURPTKYDGMDSBL-UHFFFAOYSA-N,true,true,5,2,true,true,2,false,,,,false,,,no_dn
DYDNPESBYVVLBO-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DYFFAVRFJWYYQO-UHFFFAOYSA-N,true,true,0,8,false,false,0,false,,,,false,,,no_dn
FBUKVWPVBMHYJY-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
FBXWCEKQCVOOLT-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FBZANXDWQAVSTQ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FDPIMTJIUBPUKL-UHFFFAOYSA-N,true,true,0,15,false,false,0,false,,,,false,,,no_dn
FDTKZAFIMWJYKA-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FERIUCNNQQJTOY-UHFFFAOYSA-N,true,true,0,15,false,false,0,false,,,,false,,,no_dn
FFROMNOQCNVNIH-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FFWSICBKRCICMR-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
FGLBSLMDCBOPQK-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FIGVVZUWCLSUEI-UHFFFAOYSA-N,true,true,0,6,false,false,0,false,,,,false,,,no_dn
FIWKORYTHDYMGF-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FJBFPHVGVWTDIP-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FJDROLALUDCQRJ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FKNQCJSGGFJEIZ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FKRCODPIKNYEAC-UHFFFAOYSA-N,true,true,0,14,false,false,0,false,,,,false,,,no_dn
FLIACVVOZYBSBS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FLKPEMZONWLCSK-UHFFFAOYSA-N,true,true,0,15,false,false,0,false,,,,false,,,no_dn
FLTJDUOFAQWHDF-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
FMKOJHQHASLBPH-UHFFFAOYSA-N,true,true,0,20,false,false,0,false,,,,false,,,no_dn
FMVOPJLFZGSYOS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FNAZRRHPUDJQCJ-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
FNJRMGIMHUHYGH-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FOCAUTSVDIKZOP-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
FOTKYAAJKYLFFN-UHFFFAOYSA-N,true,true,0,6,false,false,0,false,,,,false,,,no_dn
FOYHNROGBXVLLX-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FPYJFEHAWHCUMM-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FQUGGDVBFSXSQI-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FRCHKSNAZZFGCA-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FRZPYEHDSAQGAS-UHFFFAOYSA-M,true,true,1,0,false,false,0,false,,,,false,,,no_dn
FTZILAQGHINQQR-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FUSUHKVFWTUUBE-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
FUZZWVXGSFPDMH-UHFFFAOYSA-N,true,true,0,8,false,false,0,false,,,,false,,,no_dn
