inchikey,name,smiles,T_K,dipole_D,molar_volume_m3_mol,polarizability_au,polarizability_A3,alpha_density,high_frequency_epsilon,reaction_field_term,onsager_epsilon,epsilon_observed,delta_raw,delta_log,hbond_donor_sites,hba,tpsa_A2,formal_charge,n_fragments,n_charged_fragments,max_abs_formal_charge,ionic_flag,zwitterion_flag,assoc_flag,n_ring,n_aromatic_ring,onsager_version
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,ethyl propenoate,C=CC(=O)OCC,298.15,2.856,6.0866981e-05,69.046941,10.231703,0.0337439416622,1.1047670792,2.73737820925,13.7902225059,6.209,-7.5812225059,-0.898293113541,0,2,26.3,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,CCCCS(=O)(=O)[O-].CCn1cc[n+](C)c1,298.15,14.5,0.000136269,168.17643,24.921182,0.0367114227275,1.11433154174,31.5165808864,153.401832604,30,-123.401832604,-1.65922483816,0,3,66.01,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
KBPLFHHGFOOTCA-UHFFFAOYSA-N,octan-1-ol,CCCCCCCCO,298.15,1.823,9.2543441e-05,103.09964,15.277793,0.033139398807,1.10282578098,0.733546846681,4.22641786179,10.66,6.43358213821,1.09662114753,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,CC(C)O,299.15,2.02,4.2395871e-05,44.591527,6.607784,0.031286856024,1.09689201458,1.95940920608,10.0046688096,18.845,8.84033119041,0.683980157492,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,298.15,9.333,0.00010459254,109.49675,16.225747,0.0311410776747,1.09642604395,17.0114754464,82.1073071673,23.3,-58.8073071673,-1.2911863793,1,1,29.04,0,2,2,1,1,0,1,1,1,onsager_lorentz_lorenz_reaction_field_v1
LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,298.15,12.233,0.00012785246,151.48103,22.447177,0.0352437644554,1.10959379113,23.90875841,116.153845674,18,-98.1538456736,-1.91305567873,0,2,61.68,0,2,2,1,1,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,CCO,298.15,1.721,3.23943e-05,33.162154,4.9141253,0.0304514006774,1.09422343769,1.86764057993,9.55039595517,25.02,15.4696040448,1.03290922423,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
LLEVMYXEJUDBTA-UHFFFAOYSA-N,heptanedinitrile,N#CCCCCCC#N,298.15,4.154,7.9135747e-05,88.787522,13.156956,0.0333743152363,1.10357985235,4.45410487942,22.0308625381,29.71,7.6791374619,0.311254490609,0,2,47.58,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,CCCCO,298.15,2.043,5.2686505e-05,56.391301,8.3563304,0.0318380060232,1.09865499644,1.61821977425,8.39006069244,18.03,9.63993930756,0.834840546969,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,13.153,0.00011993696,129.50687,19.190942,0.0321198052824,1.09955717285,29.4643431874,142.089757341,13.9,-128.189757341,-2.39216895337,0,0,8.81,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
LVTYICIALWPMFW-UHFFFAOYSA-N,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,CC(O)CNCC(C)O,303.15,4.309,8.5119346e-05,93.613379,13.872075,0.0327146891234,1.10146341133,4.38230007233,21.6555806344,13.87,-7.78558063438,-0.473086509927,3,3,52.49,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",OCCO,303.15,2.402,3.7645606e-05,37.814829,5.6035807,0.0298800270213,1.09240102622,3.07899593478,15.3073129364,39.84,24.5326870636,0.998679842719,2,2,40.46,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,O=[N+]([O-])[O-].[NH3+]CCO,298.15,3.639,6.4085213e-05,67.93685,10.067205,0.0315341208638,1.09768270068,4.22091338078,20.8289438764,60.9,40.0710561236,1.10553382289,2,4,114.07,0,2,2,1,1,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
MCTWTZJPVLRJOU-UHFFFAOYSA-N,1-methylimidazole,Cn1ccnc1,298,4.299,4.8827517e-05,61.512716,9.115246,0.0374742889848,1.11679985861,7.73551015842,38.1478273189,39.78,1.63217268108,0.0429993643738,0,1,17.82,0,1,0,0,0,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
MTHSVFCYNBDYFN-UHFFFAOYSA-N,diethylene glycol,OCCOCCO,298.15,2.69,6.3357739e-05,66.113465,9.7970068,0.0310401196484,1.09610342062,2.33294795483,11.7806957518,30.95,19.1693042482,1.02177222018,2,3,49.69,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
MWKFXSUHUHTGQN-UHFFFAOYSA-N,decan-1-ol,CCCCCCCCCCO,298.15,1.721,0.00011290791,126.4458,18.737339,0.0333129577092,1.10338286204,0.535842964752,3.3156322585,7.74,4.4243677415,1.06837716085,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,CC(O)C(=O)O.NCCO,298.15,2.178,8.7465572e-05,95.955067,14.219077,0.0326335193811,1.10120317388,1.10784441096,5.97933023131,85.6,79.6206697687,2.83263887632,4,4,103.78,0,2,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,CN=C(C)O,303.15,1.593,4.6091057e-05,50.974816,7.55369,0.0328982000691,1.10205192485,1.10609463467,5.9744908461,178.47,172.495509154,3.57447855767,1,1,32.59,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
OIFBSDVPJOWBCH-UHFFFAOYSA-N,diethyl carbonate,CCOC(=O)OCC,298.15,0.506,6.9558135e-05,74.616901,11.057086,0.031909676842,1.09888439977,0.0751888193504,1.35579310568,2.834,1.47820689432,1.63990525474,0,3,35.53,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,CO,298.15,1.915,2.2330098e-05,21.569029,3.196201,0.0287324792443,1.08874736969,3.35464901653,16.5823957018,33.6,17.0176042982,0.738170491983,1,1,20.23,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
OOKUTCYPKPJYFV-UHFFFAOYSA-N,1-methylimidazolium bromide,Br.Cn1ccnc1,298.15,4.3,6.4856047e-05,81.013285,12.004933,0.037156852077,1.11577229009,5.823533757,28.8470050896,16.6,-12.2470050896,-0.579454509159,0,1,17.82,0,2,0,0,0,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,OCC(O)CO,303.15,2.662,5.2990021e-05,54.091475,8.0155313,0.0303646213909,1.09394651452,2.68657774361,13.4501001088,41.17,27.7198998912,1.17139178462,3,3,60.69,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",CCCCn1c(C)c(C)[n+](C)c1C.F[B-](F)(F)F,298.15,11.695,0.00014989831,164.99053,24.449079,0.0327412619907,1.10154861581,18.6381960923,90.2035313888,12,-78.2035313888,-2.09302535556,0,0,8.81,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
