model,repeat,fold,seed,n_train,n_test,train_id_hash,test_id_hash,config,mae,rmse,r2
XGBoost,3,2,42,80,20,944ea2bea491b8fa9c716f48719c18f9ab4d4e8f0a02583e152b26bb7f0b68f6,228a28f5925d98c0e4a72125fb1bfe06122c3cb20ebbd7d1423423073004db76,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",15.240328587627411,27.730506997351995,-0.10165149777507243
Tanimoto_GPR,3,3,42,80,20,18ea565364c1e6b3552acbe46751ed5d1fcc23d30f6f746f1aed9f485ee0f62f,b53430204e68e2b4218540bf18956886385e6da90f2de8affca0e1ae22fe6c6e,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",5.62814854831486,7.019126715435632,0.5680371892819944
RBF_GPR,3,3,42,80,20,18ea565364c1e6b3552acbe46751ed5d1fcc23d30f6f746f1aed9f485ee0f62f,b53430204e68e2b4218540bf18956886385e6da90f2de8affca0e1ae22fe6c6e,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,6.547759422273316,9.151574984760176,0.26570279024956545
XGBoost,3,3,42,80,20,18ea565364c1e6b3552acbe46751ed5d1fcc23d30f6f746f1aed9f485ee0f62f,b53430204e68e2b4218540bf18956886385e6da90f2de8affca0e1ae22fe6c6e,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",6.561030237350465,8.184845969267613,0.4126442636993185
Tanimoto_GPR,3,4,42,80,20,034aaa599e1cbdb1d83752087c25375c35285b53c54f2eadae73e132d3179492,d646c63fe2a72d8072fa41afec72775408220381fdd29230a66d33cef4ff1be7,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",14.12168028852084,19.056177875334726,0.16295847117782347
RBF_GPR,3,4,42,80,20,034aaa599e1cbdb1d83752087c25375c35285b53c54f2eadae73e132d3179492,d646c63fe2a72d8072fa41afec72775408220381fdd29230a66d33cef4ff1be7,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,13.985160712237462,16.74199110412103,0.3539150520756663
XGBoost,3,4,42,80,20,034aaa599e1cbdb1d83752087c25375c35285b53c54f2eadae73e132d3179492,d646c63fe2a72d8072fa41afec72775408220381fdd29230a66d33cef4ff1be7,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",12.86272143529892,16.127013637051352,0.40050810492449906
Tanimoto_GPR,4,0,42,80,20,11abaeb2d14b5e5d4a114472314eb824510a69c149d064a72dc268262c412931,adc34eb9b792c7e2e77911d9957c7ede8314e792358172cf3cd6adccdd4299bc,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",8.33623291924327,11.117542557371946,0.5046275139451185
RBF_GPR,4,0,42,80,20,11abaeb2d14b5e5d4a114472314eb824510a69c149d064a72dc268262c412931,adc34eb9b792c7e2e77911d9957c7ede8314e792358172cf3cd6adccdd4299bc,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,8.164968100345956,12.032320812150413,0.41975275676875057
XGBoost,4,0,42,80,20,11abaeb2d14b5e5d4a114472314eb824510a69c149d064a72dc268262c412931,adc34eb9b792c7e2e77911d9957c7ede8314e792358172cf3cd6adccdd4299bc,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",7.434480212974546,12.046575090922934,0.4183771443195661
Tanimoto_GPR,4,1,42,80,20,41d578c860ad158685aee8dcc476f66f136e1da76ba54499ece384e3171946fc,dcc32ad62882ff53ca32e6977f79731acfb3938802536e936339fea51eca39fc,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",13.42378583604059,18.832316482249677,0.28823196895545156
RBF_GPR,4,1,42,80,20,41d578c860ad158685aee8dcc476f66f136e1da76ba54499ece384e3171946fc,dcc32ad62882ff53ca32e6977f79731acfb3938802536e936339fea51eca39fc,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,14.591188640275096,22.526687543679188,-0.018417047033763456
XGBoost,4,1,42,80,20,41d578c860ad158685aee8dcc476f66f136e1da76ba54499ece384e3171946fc,dcc32ad62882ff53ca32e6977f79731acfb3938802536e936339fea51eca39fc,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",13.921226800918578,20.687018680671983,0.14113124626117868
Tanimoto_GPR,4,2,42,80,20,0b70bc98b151b65143f0969249b8f6497d1d2557756082d8026ccfeb68ef20b0,20955b71e57cb2d1e074b42dc7f98295582e6281057599199f46950858744b7b,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",11.373739856931131,20.86965649400611,0.08686159452682074
RBF_GPR,4,2,42,80,20,0b70bc98b151b65143f0969249b8f6497d1d2557756082d8026ccfeb68ef20b0,20955b71e57cb2d1e074b42dc7f98295582e6281057599199f46950858744b7b,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,12.001144080882172,21.305102253646584,0.04835876201284017
XGBoost,4,2,42,80,20,0b70bc98b151b65143f0969249b8f6497d1d2557756082d8026ccfeb68ef20b0,20955b71e57cb2d1e074b42dc7f98295582e6281057599199f46950858744b7b,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",12.723592840080261,21.333758776897742,0.04579702170795463
