model,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
DummyMean,42,4,3,80,20,da0a7b94b0d20f1e36d1105a98cd9ac2b5d232d5c60f7bc477832b6d740e5886,0138f79b689dc13ab985a88ed311f891a8a1a5cf102a0c50370dc6a664cb4d62,14.161763687499999,16.130091364959497,-0.4411248045822729
SizeOnlyRidge,42,4,3,80,20,da0a7b94b0d20f1e36d1105a98cd9ac2b5d232d5c60f7bc477832b6d740e5886,0138f79b689dc13ab985a88ed311f891a8a1a5cf102a0c50370dc6a664cb4d62,14.449089161808123,17.68325944468133,-0.7320186986163342
MorganRBFGPR,42,4,3,80,20,da0a7b94b0d20f1e36d1105a98cd9ac2b5d232d5c60f7bc477832b6d740e5886,0138f79b689dc13ab985a88ed311f891a8a1a5cf102a0c50370dc6a664cb4d62,10.553815136390869,14.24715533204124,-0.12430529806191304
DummyMean,42,4,4,80,20,1a58f67fe69ff490726328e58f6d520d2330e556ba7bbd82a97d9067f53060fc,9b59b257ffeea03bb6a2487e6c5b29041e801cf32c29a35d04cdf3fe31fb4ccb,17.1936053125,36.894795359868176,-0.0018890166067107028
SizeOnlyRidge,42,4,4,80,20,1a58f67fe69ff490726328e58f6d520d2330e556ba7bbd82a97d9067f53060fc,9b59b257ffeea03bb6a2487e6c5b29041e801cf32c29a35d04cdf3fe31fb4ccb,17.10210044457381,36.22591147533621,0.03410916117507512
MorganRBFGPR,42,4,4,80,20,1a58f67fe69ff490726328e58f6d520d2330e556ba7bbd82a97d9067f53060fc,9b59b257ffeea03bb6a2487e6c5b29041e801cf32c29a35d04cdf3fe31fb4ccb,14.753882605552286,35.30790016179807,0.08244272339812708
DummyMean,42,5,0,80,20,4a0298523ccf66333af7673db1f7cb9be3b8ed4959cf69371985b9bb0262aedf,a68230a5421bcab90fbd3393ae1da263a0f1ec2cf05b40c0abd84468a0fa0805,16.0971465,23.248103828724936,-0.01215883728321554
SizeOnlyRidge,42,5,0,80,20,4a0298523ccf66333af7673db1f7cb9be3b8ed4959cf69371985b9bb0262aedf,a68230a5421bcab90fbd3393ae1da263a0f1ec2cf05b40c0abd84468a0fa0805,16.476702690084984,22.764033769607853,0.02955251110903756
MorganRBFGPR,42,5,0,80,20,4a0298523ccf66333af7673db1f7cb9be3b8ed4959cf69371985b9bb0262aedf,a68230a5421bcab90fbd3393ae1da263a0f1ec2cf05b40c0abd84468a0fa0805,15.373852900568991,23.296544474284936,-0.016381177983345374
DummyMean,42,5,1,80,20,b543f77b6b463a8c0385114044f4933a4eb467f2941d97b219d08594ebe13c1f,987c07751d56f4743a9d6dacbb3d34afe41a4fe99995e221a6fe4e1faaacccce,12.455768437500002,14.629742860594082,-0.2292735134171371
SizeOnlyRidge,42,5,1,80,20,b543f77b6b463a8c0385114044f4933a4eb467f2941d97b219d08594ebe13c1f,987c07751d56f4743a9d6dacbb3d34afe41a4fe99995e221a6fe4e1faaacccce,11.959655310150918,14.620031320694103,-0.22764201838816378
MorganRBFGPR,42,5,1,80,20,b543f77b6b463a8c0385114044f4933a4eb467f2941d97b219d08594ebe13c1f,987c07751d56f4743a9d6dacbb3d34afe41a4fe99995e221a6fe4e1faaacccce,7.867214753071318,11.842705913853289,0.1944787014308702
DummyMean,42,5,2,80,20,1415c9c3bec5c7ddb8426182a5f1de0b557884c2242034319079d1ba943baed4,b49f9491c4e8d88a394b9a76b6207412c03077e352f99524a1833ee44c12e832,14.325459999999998,19.38019393888619,-0.016848447557865187
SizeOnlyRidge,42,5,2,80,20,1415c9c3bec5c7ddb8426182a5f1de0b557884c2242034319079d1ba943baed4,b49f9491c4e8d88a394b9a76b6207412c03077e352f99524a1833ee44c12e832,13.861538111012731,19.04787057516985,0.017725532615953665
MorganRBFGPR,42,5,2,80,20,1415c9c3bec5c7ddb8426182a5f1de0b557884c2242034319079d1ba943baed4,b49f9491c4e8d88a394b9a76b6207412c03077e352f99524a1833ee44c12e832,11.196771832120362,14.621742521299637,0.4211870270035146
DummyMean,42,5,3,80,20,73a350b54973ca303f515a05eb907454cf127d27e89392ddd68751f25a38d49a,dccda399e9df6f9b4b667b082d494b8e4c9fe703f9137e7e9375c3629e9dc5ea,18.023039187500004,38.23344842596807,-0.07928055901251319
SizeOnlyRidge,42,5,3,80,20,73a350b54973ca303f515a05eb907454cf127d27e89392ddd68751f25a38d49a,dccda399e9df6f9b4b667b082d494b8e4c9fe703f9137e7e9375c3629e9dc5ea,18.31600632252896,37.86548811799309,-0.05860644178253427
MorganRBFGPR,42,5,3,80,20,73a350b54973ca303f515a05eb907454cf127d27e89392ddd68751f25a38d49a,dccda399e9df6f9b4b667b082d494b8e4c9fe703f9137e7e9375c3629e9dc5ea,15.539196930575406,36.44941367939297,0.019091480386206006
DummyMean,42,5,4,80,20,ea47397711e365082f9c72542e8d254042373124e77f7f17c188a1bf309479c7,cb3425dfe88b0f4edf4fd12a9668c90515d1d642d787ca70e6891121c15a2d79,13.364192812499999,17.352797138596106,-0.05584562096602497
SizeOnlyRidge,42,5,4,80,20,ea47397711e365082f9c72542e8d254042373124e77f7f17c188a1bf309479c7,cb3425dfe88b0f4edf4fd12a9668c90515d1d642d787ca70e6891121c15a2d79,11.850231799088311,15.955241595822814,0.10737671222770473
MorganRBFGPR,42,5,4,80,20,ea47397711e365082f9c72542e8d254042373124e77f7f17c188a1bf309479c7,cb3425dfe88b0f4edf4fd12a9668c90515d1d642d787ca70e6891121c15a2d79,12.171337610802563,20.441983371856278,-0.46523574521610556
DummyMean,42,6,0,80,20,a0c749386b2edb74560c16fd246fc62165b0c812513c2bcc1aa9ce4211baf01d,a524d43170ac4dd4f7862bad02b4c46be41372fd4f04e8c0746b7d47da7fa16b,16.479061750000007,23.114801003477805,-0.01325998186321442
SizeOnlyRidge,42,6,0,80,20,a0c749386b2edb74560c16fd246fc62165b0c812513c2bcc1aa9ce4211baf01d,a524d43170ac4dd4f7862bad02b4c46be41372fd4f04e8c0746b7d47da7fa16b,15.433369112275306,22.100512432542175,0.07371365895436544
MorganRBFGPR,42,6,0,80,20,a0c749386b2edb74560c16fd246fc62165b0c812513c2bcc1aa9ce4211baf01d,a524d43170ac4dd4f7862bad02b4c46be41372fd4f04e8c0746b7d47da7fa16b,11.407189559849613,20.521039814164535,0.20138162419390093
